E1,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640
240,1651,2636,1935,822,538,313,280,349,441,503,530,522,457,377,304,258,212,185
260,23690,3855,2706,1029,560,312,294,395,533,641,708,702,635,529,437,360,305,260
280,OVER,28028,2117,931,566,285,235,299,406,504,571,588,561,474,407,341,298,258
300,OVER,OVER,1553,592,468,260,205,221,276,335,381,400,384,338,297,259,226,207
320,2255331,OVER,OVER,1665,394,239,182,158,158,163,168,174,161,140,122,111,102,92
340,470,3367391,OVER,OVER,18778,253,185,147,120,95,81,73,62,61,50,40,38,53
360,393,423,5067828,OVER,OVER,22790,221,181,156,135,102,82,64,54,46,36,34,42
380,464,269,1828,4106365,OVER,OVER,4364,169,151,145,113,99,77,58,48,46,46,53
400,601,464,247,675,3887378,OVER,OVER,585,154,142,116,104,85,76,63,44,54,63
420,469,228,233,161,186,1482228,OVER,OVER,319,115,101,81,75,71,56,43,44,65
440,363,251,169,130,139,74,OVER,OVER,OVER,256,75,69,57,49,47,44,39,67
460,521,268,162,133,124,45,263,OVER,OVER,OVER,170,59,58,48,45,42,42,63
480,496,270,197,149,110,69,54,2085,OVER,OVER,OVER,140,53,49,45,40,46,56
500,651,416,285,184,152,78,57,61,3034,OVER,OVER,OVER,128,59,51,55,70,85
