D7,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640
240,1269,2102,1551,632,421,252,229,281,349,400,417,412,363,294,241,194,161,135
260,24835,3492,2446,888,499,279,276,371,489,582,643,645,581,479,399,331,272,235
280,OVER,31181,1927,858,550,287,234,291,396,480,550,573,528,451,387,329,286,243
300,OVER,OVER,1692,557,482,297,235,245,280,340,378,391,367,329,284,248,212,200
320,1903990,OVER,OVER,1756,452,319,245,204,188,184,177,175,157,134,114,101,90,76
340,211,2798522,OVER,OVER,21498,352,271,216,171,149,115,89,79,54,43,38,23,34
360,209,241,4393448,OVER,OVER,29123,314,281,247,205,164,119,89,56,41,31,28,40
380,152,125,1423,3781077,OVER,OVER,5012,248,234,207,177,135,100,60,42,35,35,45
400,240,231,170,518,3544231,OVER,OVER,714,208,211,178,146,110,88,56,43,37,37
420,88,30,53,40,107,1396165,OVER,OVER,338,158,147,122,96,78,59,34,32,65
440,127,101,28,25,1,35,OVER,OVER,OVER,301,99,92,73,54,40,33,33,57
460,162,150,45,59,21,15,199,OVER,OVER,OVER,177,67,62,40,38,22,24,47
480,170,28,59,65,39,14,28,1778,OVER,OVER,OVER,148,52,42,30,25,22,47
500,475,184,73,39,68,22,9,28,2210,OVER,OVER,OVER,149,39,42,22,24,42
