B9,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640
240,1983,4929,4547,2246,1285,538,348,342,400,438,461,451,400,339,275,223,193,171
260,34340,5709,4808,2165,1253,536,377,417,509,597,654,663,600,505,411,339,282,258
280,OVER,45735,7201,3593,1963,702,374,351,414,492,545,574,530,462,392,326,277,271
300,OVER,OVER,4612,2031,1265,544,313,272,311,348,387,397,377,336,284,254,220,219
320,2023910,OVER,OVER,2537,547,369,268,222,199,192,184,196,173,149,130,115,108,122
340,299,2826771,OVER,OVER,27019,421,320,254,203,167,131,114,100,72,61,53,54,86
360,341,347,4095620,OVER,OVER,32822,360,316,266,220,183,142,112,87,70,51,54,116
380,294,218,1592,3370138,OVER,OVER,6220,219,211,200,171,146,112,90,60,68,68,132
400,493,301,169,575,3212060,OVER,OVER,836,183,175,152,139,116,87,77,81,75,178
420,483,186,221,139,126,1220252,OVER,OVER,415,142,140,117,119,83,90,102,89,234
440,312,325,166,113,70,60,OVER,OVER,OVER,340,96,107,99,77,68,56,70,251
460,487,271,154,126,77,40,202,OVER,OVER,OVER,200,79,89,68,66,58,68,222
480,542,290,143,111,100,52,48,1763,OVER,OVER,OVER,164,75,72,60,52,61,193
500,585,440,337,210,166,75,59,56,2190,OVER,OVER,OVER,159,75,68,71,84,201
