C7,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640
240,1884,4236,3850,1821,1091,480,320,332,385,428,449,433,389,324,265,215,180,159
260,19563,5309,4489,1950,1093,478,344,391,493,581,629,637,574,484,394,325,277,249
280,OVER,27603,6304,3038,1671,604,337,327,388,468,529,549,507,446,376,314,277,249
300,OVER,OVER,3831,1803,1138,495,291,256,291,327,360,384,362,321,283,244,210,213
320,2387906,OVER,OVER,1534,582,373,270,212,190,181,179,181,162,141,130,110,105,120
340,374,3179557,OVER,OVER,13397,429,321,254,200,155,126,108,91,76,54,50,53,84
360,366,354,4470820,OVER,OVER,17882,366,301,258,208,167,139,111,81,57,57,53,101
380,505,260,1533,3581219,OVER,OVER,3041,213,216,181,155,135,110,78,72,57,62,117
400,694,218,255,550,3374827,OVER,OVER,544,185,168,147,125,104,80,75,76,80,159
420,613,278,246,131,151,1258776,OVER,OVER,256,134,122,118,98,87,71,82,85,195
440,403,312,212,136,105,56,OVER,OVER,OVER,238,95,97,80,70,59,61,72,204
460,465,295,196,155,108,50,210,OVER,OVER,OVER,164,75,82,65,51,56,61,185
480,529,303,173,160,115,67,61,1586,OVER,OVER,OVER,154,73,64,55,42,61,152
500,665,393,239,180,209,84,62,68,1837,OVER,OVER,OVER,150,65,64,57,70,160
