B10,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640
240,970,1744,1210,511,356,241,251,316,411,475,511,486,427,352,287,235,184,159
260,28017,3476,2349,790,452,288,309,436,580,715,786,783,688,581,477,393,321,276
280,OVER,33229,1157,477,325,222,224,312,439,557,624,659,606,523,443,376,322,274
300,OVER,OVER,1127,276,308,215,189,224,283,350,404,431,403,357,310,268,233,206
320,2131392,OVER,OVER,1717,322,223,169,140,146,163,160,169,154,135,118,100,95,87
340,107,2952378,OVER,OVER,20759,231,167,140,123,98,79,65,55,41,29,19,19,16
360,20,218,4372332,OVER,OVER,30575,210,175,162,143,113,86,58,38,29,21,7,8
380,51,83,1535,3641256,OVER,OVER,5095,165,156,142,127,91,69,45,26,23,18,14
400,21,115,13,416,3560774,OVER,OVER,598,135,132,123,102,82,51,49,28,15,17
420,-37,-2,-6,64,55,1302745,OVER,OVER,316,119,104,87,68,54,28,19,15,20
440,33,-22,9,17,35,29,OVER,OVER,OVER,293,71,62,44,35,29,17,18,22
460,63,-2,-12,28,24,-3,200,OVER,OVER,OVER,173,49,44,32,22,19,0,6
480,70,56,19,-10,8,6,17,1919,OVER,OVER,OVER,118,25,30,21,21,10,20
500,180,76,93,3,14,8,-14,18,2289,OVER,OVER,OVER,104,33,19,21,23,2
