F7,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640
240,1142,1856,1327,518,373,233,234,302,387,438,466,451,397,330,262,212,175,153
260,15371,3657,2441,857,466,269,293,405,537,649,719,713,650,542,443,358,301,250
280,6087080,16515,1213,484,327,215,212,291,402,506,587,600,549,480,408,349,298,259
300,OVER,OVER,813,299,331,226,194,223,273,332,383,405,376,330,286,252,222,188
320,2455639,OVER,OVER,1011,379,253,189,160,153,161,163,159,148,133,114,103,88,77
340,182,3348072,OVER,OVER,8945,261,187,157,122,100,80,62,49,40,28,27,26,24
360,88,248,4980459,OVER,OVER,11229,230,182,166,133,103,71,51,40,24,22,26,18
380,168,68,1719,4196691,OVER,OVER,2126,159,152,122,107,83,57,42,33,29,22,18
400,237,89,103,460,4061651,OVER,OVER,389,129,127,105,75,57,55,35,40,27,24
420,97,91,74,42,48,1512546,OVER,OVER,190,103,90,74,47,45,30,24,27,20
440,197,84,35,14,57,30,OVER,OVER,OVER,171,57,48,40,35,26,22,14,6
460,112,57,25,20,20,17,216,OVER,OVER,OVER,121,39,37,27,21,16,11,10
480,92,51,78,40,32,18,34,1730,OVER,OVER,OVER,98,23,27,20,19,7,6
500,138,116,55,38,40,21,1,21,2538,OVER,OVER,OVER,79,26,29,21,31,12
