C8,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640
240,2043,4144,3659,1694,968,428,297,313,367,422,432,424,371,304,236,192,156,126
260,16504,5010,4144,1759,969,432,321,381,482,567,616,621,561,461,380,307,252,217
280,3574356,22716,6603,3103,1690,604,326,313,384,468,528,550,512,441,371,309,261,230
300,5936769,3075033,4418,1822,1142,497,298,270,295,345,375,395,371,327,284,245,210,187
320,1551260,OVER,3306202,1525,499,352,260,223,210,196,189,181,159,129,114,94,77,78
340,-101,2341902,OVER,OVER,10768,366,299,237,204,166,129,100,71,49,22,15,16,33
360,-126,115,3639859,OVER,OVER,12816,361,318,281,239,188,137,95,59,39,25,13,43
380,-276,-114,1518,3217283,OVER,OVER,3207,244,245,231,180,144,100,64,41,20,15,46
400,-362,-117,-25,377,3266652,OVER,OVER,535,205,208,171,136,88,55,42,23,19,58
420,-213,-62,-97,-28,-5,1244932,OVER,OVER,266,137,132,112,87,62,35,26,30,91
440,-101,-96,-61,-5,-50,-1,OVER,OVER,OVER,195,85,88,65,50,25,20,14,107
460,-153,-69,-87,-42,-60,-13,153,OVER,OVER,OVER,130,58,58,29,20,12,11,85
480,-170,-148,-113,-61,0,-20,-1,1633,OVER,OVER,OVER,97,34,19,14,10,2,60
500,-417,-47,-102,-36,-65,-26,-26,-10,2122,OVER,OVER,OVER,80,20,7,11,-6,28
