G5,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640
240,1617,1860,1186,439,341,237,229,290,365,421,441,422,369,299,249,196,166,133
260,29778,2945,1870,670,407,281,307,415,543,670,721,711,644,528,430,351,296,245
280,6416388,26418,1411,537,369,238,236,328,434,538,614,631,578,501,420,361,301,260
300,OVER,OVER,1571,423,399,272,239,267,322,387,426,441,416,361,305,262,231,197
320,1993741,OVER,OVER,1556,385,284,239,214,210,206,198,191,170,143,121,99,92,77
340,-15,3468966,OVER,OVER,11263,290,244,224,184,154,121,84,61,38,36,19,13,7
360,-52,166,OVER,OVER,OVER,13910,273,253,224,192,146,106,70,46,29,18,8,7
380,-45,-134,1961,OVER,OVER,OVER,2634,215,208,178,160,110,81,46,29,23,22,-2
400,-212,-55,-79,552,OVER,OVER,OVER,566,175,186,151,111,82,55,32,20,24,0
420,-189,-86,-48,-15,48,2081158,OVER,OVER,261,141,122,108,65,47,34,10,15,2
440,-152,-54,-64,-42,-18,15,OVER,OVER,OVER,222,79,78,54,34,24,9,16,2
460,-150,-115,-59,-8,-47,-11,239,OVER,OVER,OVER,133,50,44,25,17,8,5,10
480,-219,-17,-4,-26,-32,-2,11,2235,OVER,OVER,OVER,101,31,28,9,8,1,-6
500,28,-16,-11,-43,0,-3,-15,3,2881,OVER,OVER,OVER,84,19,4,5,3,0
