H5,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640
240,1586,1731,1083,446,328,235,228,295,378,434,461,441,386,315,247,204,168,134
260,35848,2799,1818,649,400,267,305,420,568,681,743,746,671,546,444,373,308,253
280,OVER,30259,1185,457,329,231,225,320,435,551,630,647,593,511,432,362,306,267
300,OVER,OVER,1474,330,330,234,214,251,307,377,426,446,413,365,309,264,237,201
320,5510878,OVER,OVER,1897,295,227,187,174,176,182,183,183,163,141,114,104,85,80
340,7,OVER,OVER,OVER,16334,226,184,162,135,113,88,63,47,32,24,17,15,13
360,-104,259,OVER,OVER,OVER,18703,215,193,170,139,110,77,53,38,18,10,14,3
380,-142,-90,2742,OVER,OVER,OVER,3636,166,152,134,108,93,58,30,21,16,5,3
400,37,21,-54,677,OVER,OVER,OVER,562,141,140,112,79,60,35,18,14,13,0
420,-122,-99,-26,-37,80,OVER,OVER,OVER,282,116,86,75,52,28,26,9,3,7
440,-278,-55,-25,-32,-14,40,OVER,OVER,OVER,214,56,58,39,23,7,2,6,-10
460,-84,-126,-103,-39,-16,-8,408,OVER,OVER,OVER,123,44,35,29,8,12,-3,-5
480,-196,-134,-45,-37,-27,-1,27,4097,OVER,OVER,OVER,105,30,11,6,5,-4,-4
500,-154,-78,-6,-39,-43,-7,-9,1,5365,OVER,OVER,OVER,78,6,-2,-5,-5,-8
