D10,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640
240,20084,41099,29321,11234,4960,1315,438,237,180,145,109,83,61,42,32,24,16,28
260,96510,83055,59283,22057,9050,2195,647,311,231,187,150,120,84,54,38,26,23,38
280,OVER,207089,106976,44211,22271,6465,1923,759,449,309,218,161,119,75,52,37,34,49
300,OVER,OVER,114642,72047,49397,17300,5633,2103,1125,677,426,280,178,112,77,59,46,59
320,OVER,OVER,OVER,62847,50927,20286,7325,2964,1626,976,605,395,252,154,104,73,61,90
340,881,OVER,OVER,OVER,49226,12245,5971,3154,2024,1356,878,582,366,229,149,103,77,120
360,161,2016,OVER,OVER,OVER,43469,4767,3303,2460,1775,1199,819,515,311,202,138,109,159
380,139,77,14236,OVER,OVER,OVER,9070,1919,1624,1240,904,623,406,255,156,110,97,194
400,130,144,108,4076,OVER,OVER,OVER,1926,878,748,559,414,299,192,134,95,83,229
420,210,84,120,67,442,OVER,OVER,OVER,714,417,379,279,214,148,108,98,90,305
440,104,31,34,76,35,152,OVER,OVER,OVER,577,227,234,164,125,87,74,89,333
460,110,72,32,36,59,19,1692,OVER,OVER,OVER,355,167,160,112,79,57,83,286
480,177,74,39,49,41,36,52,13732,OVER,OVER,OVER,287,113,94,95,71,71,237
500,194,148,94,66,62,27,33,38,21625,OVER,OVER,OVER,209,76,84,88,78,226
