C8,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640
240,137167,172874,111982,45185,19870,6930,3082,1894,1421,1183,935,744,535,381,290,208,193,375
260,189812,253301,170557,70808,30932,10380,4306,2489,1825,1485,1176,1003,739,513,374,273,254,548
280,OVER,447360,295608,134939,70377,27042,11163,5672,3427,2471,1772,1393,995,682,495,361,330,645
300,OVER,OVER,237730,165871,116528,53705,24918,12763,7261,4776,3101,2249,1473,986,700,497,435,744
320,OVER,OVER,OVER,106427,93806,51193,26634,14915,8890,5993,3947,2831,1860,1226,859,603,511,841
340,6341,OVER,OVER,OVER,41426,29679,20985,14972,10564,7793,5348,3971,2627,1735,1193,823,677,1135
360,222,3008,OVER,OVER,OVER,18789,16126,14129,11515,9124,6544,4919,3248,2094,1438,974,813,1481
380,208,117,2017,OVER,OVER,OVER,9324,7789,7003,5944,4461,3438,2312,1522,1037,724,658,1584
400,246,131,121,2055,OVER,OVER,OVER,8534,3495,3281,2562,2103,1494,1046,741,543,554,1714
420,223,85,69,76,1709,OVER,OVER,OVER,4002,1656,1643,1366,1073,806,611,469,576,2195
440,158,74,54,40,54,1120,OVER,OVER,OVER,4281,917,1095,851,616,493,380,492,2009
460,157,76,48,44,57,69,1634,OVER,OVER,OVER,2183,794,831,594,439,348,432,1672
480,208,89,60,57,75,97,177,2877,OVER,OVER,OVER,1646,562,505,480,346,391,1296
500,271,121,88,60,62,48,65,145,2399,OVER,OVER,OVER,982,326,359,353,384,1081
