B11,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640
240,17733,37032,26411,10012,4322,1135,392,214,172,138,109,76,58,41,29,26,18,31
260,81260,76458,56084,20996,8412,1995,598,296,219,178,138,113,80,51,41,30,22,34
280,OVER,209885,105047,41880,20489,5846,1760,695,417,282,205,149,110,71,50,37,32,41
300,OVER,OVER,116527,70830,47040,16333,5253,1914,1012,612,384,255,162,111,76,52,42,55
320,OVER,OVER,OVER,61674,48892,18880,6736,2659,1454,863,537,357,226,142,98,65,56,76
340,584,OVER,OVER,OVER,46964,10977,5273,2743,1775,1160,764,501,321,202,139,97,83,89
360,87,1572,OVER,OVER,OVER,44436,4006,2799,2082,1480,1012,697,424,276,173,127,84,125
380,285,168,13992,OVER,OVER,OVER,9301,1641,1384,1051,767,538,340,219,138,99,82,141
400,412,193,148,3869,OVER,OVER,OVER,1950,773,655,493,363,261,177,105,92,74,161
420,231,91,101,82,470,OVER,OVER,OVER,782,386,340,255,190,129,106,74,69,202
440,195,149,70,72,47,145,OVER,OVER,OVER,573,210,203,151,103,85,67,67,214
460,340,25,51,83,70,12,1182,OVER,OVER,OVER,359,142,144,100,64,63,66,190
480,325,166,145,52,64,43,59,10770,OVER,OVER,OVER,278,85,100,89,66,67,152
500,333,280,176,139,86,37,35,42,13904,OVER,OVER,OVER,212,69,78,81,77,165
