E9,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640
240,105547,126841,78832,31390,14330,5740,3227,2453,2026,1701,1340,1054,754,533,394,286,245,277
260,155877,191877,125286,50084,22071,8067,4070,3041,2551,2214,1840,1534,1128,783,560,402,322,372
280,OVER,358831,217007,97334,51599,20885,9501,5379,3561,2695,2047,1639,1180,821,597,442,361,437
300,OVER,OVER,186120,127469,92261,44212,20856,10904,6443,4343,2886,2083,1371,932,677,502,418,502
320,OVER,OVER,OVER,83002,73525,41147,21840,12480,7639,5271,3543,2561,1700,1156,829,597,491,598
340,5556,OVER,OVER,OVER,34577,24953,17798,12881,9316,7008,4927,3672,2440,1638,1154,828,667,767
360,491,2455,OVER,OVER,OVER,16367,13774,12219,10101,8123,5990,4543,3021,1968,1367,963,760,945
380,434,241,1693,OVER,OVER,OVER,7510,6506,5998,5236,3989,3065,2085,1399,972,707,602,923
400,596,289,237,1563,OVER,OVER,OVER,7541,2948,2781,2188,1793,1302,931,694,530,504,995
420,469,232,153,145,1302,OVER,OVER,OVER,3821,1351,1376,1133,908,695,570,457,481,1277
440,356,171,115,89,97,791,OVER,OVER,OVER,3978,728,900,707,524,434,359,417,1314
460,367,167,114,94,92,105,1384,OVER,OVER,OVER,2011,610,667,486,375,325,383,1124
480,440,199,137,116,127,139,230,2604,OVER,OVER,OVER,1340,407,396,405,303,336,845
500,557,270,161,134,128,92,113,194,2088,OVER,OVER,OVER,866,267,320,352,359,739
