G9,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640
240,1137,1861,1307,505,355,239,244,307,396,458,475,467,412,333,267,215,183,154
260,13990,3509,2345,828,457,284,312,429,566,679,744,741,661,547,442,369,313,262
280,5723583,14203,1157,480,344,236,246,326,439,528,600,616,581,489,424,351,303,262
300,OVER,OVER,720,309,323,236,210,237,292,351,394,418,383,342,301,258,225,194
320,2403680,OVER,OVER,994,372,258,199,174,167,173,174,176,154,137,121,99,97,83
340,210,3364445,OVER,OVER,7825,266,236,197,159,128,94,71,51,39,39,33,28,26
360,13,236,4858028,OVER,OVER,11488,333,293,244,178,132,91,66,47,33,26,20,27
380,141,184,1694,4065540,OVER,OVER,2028,276,236,184,134,99,78,47,44,27,30,30
400,135,75,73,526,4015832,OVER,OVER,452,179,163,123,99,72,45,41,27,25,25
420,234,110,101,55,120,1513662,OVER,OVER,216,126,101,84,65,46,38,37,31,16
440,188,44,96,19,46,31,OVER,OVER,OVER,177,62,67,45,27,24,14,23,17
460,92,99,44,31,37,22,224,OVER,OVER,OVER,115,46,39,32,20,25,25,24
480,189,110,96,57,59,19,30,2170,OVER,OVER,OVER,97,39,34,29,11,24,25
500,280,84,72,15,59,22,23,25,2577,OVER,OVER,OVER,88,32,16,28,21,34
