A3,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640
240,1102,1691,1069,428,318,227,236,301,391,454,479,463,401,330,257,212,174,139
260,51677,2973,1923,674,404,269,309,424,574,692,766,766,674,563,458,375,312,259
280,OVER,42403,1074,435,310,219,227,313,436,550,628,649,601,516,432,364,314,265
300,OVER,OVER,1620,284,298,227,204,228,297,365,414,441,411,358,314,265,229,200
320,3166650,OVER,OVER,2021,307,213,180,159,157,163,172,167,152,138,112,96,82,84
340,-7,5783545,OVER,OVER,18570,211,192,148,124,102,74,60,40,20,13,9,8,4
360,-206,221,OVER,OVER,OVER,20741,260,225,193,158,107,76,47,29,22,12,7,0
380,-142,-103,2123,OVER,OVER,OVER,4395,202,184,162,116,89,53,34,15,3,3,3
400,-263,-104,-59,611,OVER,OVER,OVER,614,153,137,107,77,50,36,21,14,7,-11
420,-410,-117,-127,-55,22,OVER,OVER,OVER,311,114,99,64,45,30,9,-5,-9,-13
440,-251,-70,-82,-70,-49,7,OVER,OVER,OVER,245,63,60,41,17,8,6,2,-5
460,-216,-105,-137,-57,0,-15,302,OVER,OVER,OVER,131,35,30,14,9,-3,-5,-11
480,-231,-173,-87,-29,-60,-3,11,2970,OVER,OVER,OVER,107,14,6,9,-3,-4,-11
500,-70,-94,-100,-94,-76,-21,-7,-6,4785,OVER,OVER,OVER,73,8,-10,-3,-9,-13
