H2,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640
240,1496,1726,1058,432,327,233,227,303,376,432,451,442,383,316,250,202,167,139
260,43134,2920,1824,638,395,277,300,421,557,688,744,745,661,546,450,367,302,252
280,OVER,36277,1196,469,339,218,232,318,428,544,620,644,595,503,433,364,307,261
300,OVER,OVER,1726,329,308,235,204,237,301,370,416,429,409,352,309,262,232,201
320,7176300,OVER,OVER,1870,310,218,194,166,168,169,173,169,156,133,117,103,86,82
340,58,OVER,OVER,OVER,17359,221,184,147,136,109,80,63,50,37,8,15,11,12
360,0,273,OVER,OVER,OVER,18334,214,184,175,142,103,74,50,37,18,9,1,11
380,-107,-20,3159,OVER,OVER,OVER,3558,175,163,136,113,88,55,32,21,8,13,-1
400,-251,-76,-39,852,OVER,OVER,OVER,530,136,130,112,82,51,45,20,17,5,-11
420,-189,-49,-31,-18,102,OVER,OVER,OVER,260,98,92,73,43,32,17,6,-4,-9
440,-63,-80,-47,-7,-18,35,OVER,OVER,OVER,216,67,55,41,12,19,8,-4,-1
460,-28,16,-34,-46,-64,-1,521,OVER,OVER,OVER,119,44,40,15,7,-1,2,-9
480,-95,-98,-70,-9,0,-7,18,7414,OVER,OVER,OVER,93,15,17,15,1,-19,-9
500,28,-31,-11,-8,-46,-9,-8,10,6941,OVER,OVER,OVER,88,14,4,5,-1,-8
