E11,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640
240,17113,35504,25414,9683,4189,1111,389,226,176,142,117,92,72,56,43,39,39,44
260,80021,74820,54337,20484,8250,1956,591,300,224,183,151,121,90,63,45,43,35,46
280,OVER,198989,102047,41461,20639,5949,1795,700,419,291,206,154,116,82,57,45,43,58
300,OVER,OVER,115314,71854,49125,17112,5576,2056,1094,650,409,273,178,122,89,70,60,66
320,OVER,OVER,OVER,64434,52732,20754,7494,2951,1598,964,598,391,251,165,121,89,79,99
340,1179,OVER,OVER,OVER,48578,12523,6025,3146,2001,1314,871,579,378,250,180,133,104,127
360,601,2114,OVER,OVER,OVER,34718,4667,3223,2376,1702,1147,772,498,323,215,165,135,159
380,751,389,13263,OVER,OVER,OVER,8274,1940,1626,1233,875,624,409,253,183,140,120,174
400,994,522,446,4156,OVER,OVER,OVER,1878,917,790,592,451,335,218,176,135,125,212
420,992,412,338,272,603,OVER,OVER,OVER,740,456,412,309,243,198,148,137,115,235
440,750,392,262,192,185,185,OVER,OVER,OVER,573,247,250,188,144,118,104,103,258
460,626,382,238,202,155,85,1638,OVER,OVER,OVER,354,191,182,144,115,95,100,226
480,732,390,323,229,191,90,109,17297,OVER,OVER,OVER,278,127,132,122,97,104,205
500,1103,668,404,338,260,143,99,106,18167,OVER,OVER,OVER,272,116,130,128,132,214
