B2,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640
240,138539,158978,95820,35353,14822,5183,2494,1679,1318,1115,888,690,477,341,231,167,127,103
260,191660,232793,147109,56017,22899,7619,3357,2084,1609,1358,1103,895,654,435,314,217,165,155
280,OVER,419466,249252,110353,57391,22570,9800,5043,3078,2230,1608,1232,872,588,421,308,237,211
300,OVER,OVER,234222,163596,116457,54469,25234,12854,7171,4674,3019,2139,1400,922,647,465,355,311
320,OVER,OVER,OVER,113046,97382,51992,27101,15042,8954,5917,3845,2729,1776,1159,791,556,419,375
340,5916,OVER,OVER,OVER,41030,29830,21681,15729,10976,7924,5353,3844,2484,1597,1093,734,546,452
360,17,2600,OVER,OVER,OVER,19547,19628,17851,13861,10507,7109,5030,3199,2004,1327,879,652,541
380,-12,30,1809,OVER,OVER,OVER,14675,13866,11120,8580,5694,3989,2458,1505,995,659,479,440
400,-68,4,35,1742,OVER,OVER,OVER,12024,6962,5605,3676,2594,1661,1055,699,477,346,378
420,-44,0,-1,24,1683,OVER,OVER,OVER,4294,2142,1867,1404,1023,744,544,404,313,408
440,-20,-6,5,1,18,1002,OVER,OVER,OVER,4414,893,1044,760,536,425,332,287,386
460,-33,-12,-15,-2,14,42,1729,OVER,OVER,OVER,2017,670,714,508,362,284,262,365
480,-20,7,4,9,42,75,159,3209,OVER,OVER,OVER,1366,421,410,407,290,246,320
500,-22,0,-3,-5,9,11,29,107,2469,OVER,OVER,OVER,866,236,278,302,257,279
