G8,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640
240,143800,160033,93670,33849,13749,4881,2380,1669,1330,1135,902,713,499,355,260,188,156,174
260,198276,233816,144735,54163,21661,7057,3132,2056,1609,1376,1116,937,677,464,336,244,194,232
280,OVER,419298,244725,107748,56966,22837,10091,5196,3170,2266,1640,1268,903,613,447,334,272,306
300,OVER,OVER,243430,174109,127218,59921,28114,14242,7917,5107,3264,2339,1514,1010,699,508,409,424
320,OVER,OVER,OVER,124873,109518,59462,30988,17085,9998,6568,4268,3021,1961,1282,901,619,484,516
340,5888,OVER,OVER,OVER,47871,34929,24700,17378,12012,8638,5861,4260,2772,1788,1236,856,645,649
360,163,2773,OVER,OVER,OVER,21350,18871,16481,13081,10149,7230,5293,3454,2204,1493,1018,769,807
380,131,82,1887,OVER,OVER,OVER,9943,9049,8077,6745,5018,3748,2468,1580,1078,739,599,726
400,168,76,114,1727,OVER,OVER,OVER,8724,3998,3736,2853,2263,1583,1082,748,532,452,696
420,170,73,50,68,1541,OVER,OVER,OVER,4421,1830,1811,1442,1083,798,599,450,424,860
440,124,50,25,28,51,1075,OVER,OVER,OVER,4048,951,1101,805,573,464,359,366,825
460,90,43,38,34,40,61,1671,OVER,OVER,OVER,2165,706,737,542,396,328,330,713
480,164,52,56,41,72,97,189,2953,OVER,OVER,OVER,1445,435,427,433,312,316,595
500,155,81,57,43,58,43,48,128,2276,OVER,OVER,OVER,900,248,311,335,322,519
