C11,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640
240,21872,46911,34461,13827,6346,1822,675,386,303,246,178,133,94,63,51,40,28,36
260,105373,78365,57126,22066,9425,2458,831,488,397,322,261,203,140,90,65,47,36,56
280,OVER,224597,112056,47397,24182,7098,2202,909,586,419,307,226,168,108,73,50,44,67
300,OVER,OVER,119708,76949,53408,18481,6033,2281,1248,772,492,327,208,137,92,67,54,78
320,OVER,OVER,OVER,66425,53923,21540,7823,3171,1777,1103,685,451,283,182,122,88,71,109
340,737,OVER,OVER,OVER,54520,13138,6540,3545,2327,1587,1050,701,447,276,187,133,105,137
360,177,1659,OVER,OVER,OVER,45119,5315,3749,2876,2104,1456,992,633,396,250,170,141,208
380,350,157,12242,OVER,OVER,OVER,12013,2154,1872,1468,1067,743,481,304,195,135,121,222
400,601,241,179,3722,OVER,OVER,OVER,1884,980,845,655,487,340,226,155,115,111,266
420,221,163,101,78,378,OVER,OVER,OVER,771,449,419,318,235,189,141,103,114,376
440,337,192,141,66,65,116,OVER,OVER,OVER,593,244,243,190,141,108,78,118,420
460,242,226,165,87,57,52,1267,OVER,OVER,OVER,355,171,164,137,97,82,96,387
480,416,219,178,106,66,31,73,11444,OVER,OVER,OVER,272,111,109,97,80,95,302
500,221,216,259,142,99,40,34,60,14130,OVER,OVER,OVER,234,81,111,90,88,269
