D5,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640
240,13073,29812,23006,9527,4431,1278,480,275,211,166,123,92,60,49,33,21,19,26
260,87357,62397,48131,18834,8047,2092,698,404,325,261,204,161,114,74,45,33,27,35
280,OVER,189438,94360,39699,20370,5958,1879,787,504,346,246,184,135,85,59,43,34,38
300,OVER,OVER,99407,62909,43491,15401,5141,1968,1062,644,400,255,161,107,73,49,41,50
320,OVER,OVER,OVER,54621,44841,18253,6753,2754,1531,912,570,363,223,144,95,66,60,77
340,349,OVER,OVER,OVER,47248,11338,5589,2989,1938,1269,829,551,357,222,143,101,76,91
360,193,694,OVER,OVER,OVER,39599,4435,3073,2307,1670,1123,760,485,301,190,132,99,130
380,133,55,6895,OVER,OVER,OVER,7961,1770,1475,1144,818,558,369,230,148,103,91,114
400,277,166,174,2373,OVER,OVER,OVER,1672,754,642,471,353,245,159,110,84,79,159
420,377,153,101,46,368,OVER,OVER,OVER,600,304,285,220,165,125,107,77,82,218
440,209,55,43,87,50,111,OVER,OVER,OVER,432,160,179,136,104,81,63,70,235
460,132,31,60,84,56,30,1243,OVER,OVER,OVER,270,133,129,105,80,61,76,194
480,148,70,99,46,46,35,56,11382,OVER,OVER,OVER,235,82,77,69,47,55,157
500,383,103,84,78,80,39,17,28,12894,OVER,OVER,OVER,171,64,70,59,64,141
