F10,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640
240,16901,38537,29657,12271,5739,1642,617,371,294,229,172,121,78,54,36,29,17,25
260,86818,65710,49780,19425,8399,2181,774,491,420,341,267,203,141,88,53,38,29,32
280,OVER,198960,96695,40796,20734,6136,1966,865,576,406,295,214,156,97,65,45,30,45
300,OVER,OVER,102682,63625,43918,15653,5126,1984,1091,658,412,271,167,109,73,50,38,53
320,OVER,OVER,OVER,55305,44996,18406,6767,2751,1537,943,582,375,229,146,93,67,48,74
340,637,OVER,OVER,OVER,47226,11283,5648,3011,1974,1331,864,579,364,234,146,105,75,92
360,90,2168,OVER,OVER,OVER,37063,4485,3138,2415,1735,1187,812,514,317,196,134,99,135
380,36,50,19319,OVER,OVER,OVER,8245,1819,1567,1215,874,601,386,244,159,106,86,127
400,176,98,109,4857,OVER,OVER,OVER,1639,789,666,497,369,256,174,110,89,84,142
420,11,62,40,58,489,OVER,OVER,OVER,625,327,296,229,166,129,96,88,68,195
440,72,75,11,50,47,142,OVER,OVER,OVER,443,167,190,147,104,78,65,71,231
460,-28,26,78,23,23,14,1534,OVER,OVER,OVER,270,133,127,92,73,56,64,198
480,115,-12,49,-9,36,21,41,11912,OVER,OVER,OVER,223,77,76,66,58,37,157
500,141,110,89,59,25,3,14,34,15422,OVER,OVER,OVER,180,45,51,65,59,144
