A3,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640
240,823,1424,1001,423,331,249,252,339,430,513,540,529,457,375,297,239,200,166
260,23740,2807,1861,658,403,288,335,480,647,794,865,864,773,643,527,431,357,296
280,OVER,24047,952,399,294,215,236,345,478,598,691,715,654,570,474,401,346,294
300,OVER,OVER,1009,268,297,215,195,227,303,380,437,468,437,382,332,288,253,220
320,3894851,OVER,OVER,1209,295,207,156,140,147,157,173,167,155,140,117,105,88,75
340,-90,6322141,OVER,OVER,12227,192,139,111,100,73,65,47,34,28,17,13,14,4
360,-32,274,OVER,OVER,OVER,14895,189,155,122,109,78,58,35,19,10,7,0,-9
380,-119,-61,2697,OVER,OVER,OVER,2703,146,127,109,79,56,39,34,20,12,-1,1
400,-142,-72,-61,742,OVER,OVER,OVER,450,105,99,65,63,19,19,25,-9,-4,6
420,-127,-33,-32,-76,107,OVER,OVER,OVER,213,78,64,51,29,19,10,3,4,-9
440,-241,-92,-48,-23,-54,40,OVER,OVER,OVER,172,46,43,20,14,7,2,1,-6
460,-13,-50,-84,-51,-13,5,436,OVER,OVER,OVER,103,26,23,13,0,3,-4,-5
480,28,-79,-81,-39,-19,-8,7,4154,OVER,OVER,OVER,80,11,4,9,4,-5,-15
500,-62,-114,-41,-33,-29,-19,-13,-3,6235,OVER,OVER,OVER,66,-4,2,6,-10,-5
