C2,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640
240,1039,1830,1275,521,375,237,238,302,379,439,466,453,393,328,265,212,180,156
260,17022,3444,2356,815,461,287,293,407,545,659,724,722,638,539,436,356,302,256
280,OVER,18755,1218,519,362,227,223,298,413,511,594,614,563,491,410,348,294,250
300,OVER,OVER,892,340,351,254,205,227,280,343,387,415,388,339,296,252,218,195
320,2327260,OVER,OVER,1073,403,258,201,168,162,165,167,169,159,139,117,98,91,80
340,64,3401593,OVER,OVER,10112,268,207,158,127,110,91,65,54,46,30,20,24,29
360,27,189,4930412,OVER,OVER,13104,250,205,180,145,115,83,65,35,27,26,17,15
380,-3,68,1575,4152251,OVER,OVER,2294,178,169,153,122,92,69,47,31,37,19,16
400,160,75,48,490,4042096,OVER,OVER,447,153,143,114,99,68,44,33,27,26,5
420,187,41,43,21,87,1529477,OVER,OVER,215,115,87,77,52,47,30,24,21,27
440,169,18,38,-23,23,26,OVER,OVER,OVER,190,60,61,42,31,24,19,9,-3
460,111,-12,17,33,16,6,222,OVER,OVER,OVER,124,43,39,30,23,20,13,13
480,60,144,32,-7,25,10,23,1716,OVER,OVER,OVER,105,30,34,20,11,21,10
500,-33,-10,76,26,24,36,25,17,2520,OVER,OVER,OVER,91,25,23,16,7,18
