E1,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640
240,1534,2716,2311,1136,744,379,286,327,399,462,480,461,403,336,263,220,185,150
260,48249,5824,5397,2665,1551,658,433,473,594,696,769,756,670,561,444,373,313,261
280,OVER,51246,8472,4686,2874,1025,478,400,479,575,633,652,599,518,431,366,317,267
300,OVER,OVER,6429,3263,2036,803,395,312,339,388,441,451,425,371,308,277,237,206
320,2823084,OVER,OVER,2778,652,387,258,214,205,203,195,199,173,159,127,109,101,90
340,79,4698221,OVER,OVER,20579,338,271,214,170,142,119,87,69,52,48,33,24,31
360,111,321,OVER,OVER,OVER,24400,304,261,221,189,154,121,84,60,42,31,31,21
380,96,3,2118,OVER,OVER,OVER,4587,220,205,195,159,125,90,64,49,30,37,25
400,135,54,153,635,OVER,OVER,OVER,694,182,174,159,130,93,70,45,40,44,37
420,-37,121,69,52,134,OVER,OVER,OVER,343,158,149,121,111,80,56,49,47,33
440,196,39,71,29,33,50,OVER,OVER,OVER,309,106,105,87,64,46,31,30,18
460,178,103,59,10,36,15,297,OVER,OVER,OVER,178,81,68,53,48,24,21,10
480,-4,121,65,2,34,25,40,2805,OVER,OVER,OVER,138,48,45,27,36,9,12
500,-104,201,55,85,36,21,5,21,3526,OVER,OVER,OVER,120,37,33,44,15,24
