G9,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640
240,132724,152404,90023,32634,13597,4757,2342,1618,1279,1092,871,692,500,376,292,225,197,243
260,200647,241890,151285,57219,23057,7435,3259,2058,1583,1338,1093,925,694,473,356,269,232,301
280,OVER,431537,253524,112089,59052,23237,10143,5174,3114,2257,1652,1283,924,647,483,361,307,374
300,OVER,OVER,243789,173264,124117,57576,26557,13413,7425,4814,3104,2233,1472,986,713,521,428,485
320,OVER,OVER,OVER,118981,102440,54866,28359,15712,9216,6124,3982,2856,1884,1251,891,633,527,598
340,6321,OVER,OVER,OVER,43929,31210,21873,15476,10742,7851,5405,3958,2621,1746,1208,861,683,750
360,505,2761,OVER,OVER,OVER,19310,16706,14600,11643,9155,6513,4828,3171,2074,1453,1002,793,923
380,517,274,2094,OVER,OVER,OVER,9274,8134,7249,6098,4548,3425,2292,1507,1060,744,621,890
400,734,332,263,2015,OVER,OVER,OVER,8363,3721,3453,2699,2161,1527,1075,796,590,539,922
420,546,271,181,174,1560,OVER,OVER,OVER,4418,1801,1780,1432,1103,828,653,511,512,1106
440,409,188,137,100,107,1021,OVER,OVER,OVER,4924,973,1126,854,620,511,413,425,1054
460,402,199,128,106,108,111,1422,OVER,OVER,OVER,2644,749,795,589,449,384,405,911
480,492,226,167,133,147,156,233,3357,OVER,OVER,OVER,1485,502,496,490,374,377,767
500,615,301,197,151,150,109,123,215,2513,OVER,OVER,OVER,1044,341,392,398,413,686
