D7,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640
240,137716,152549,89413,32357,13012,4520,2153,1438,1120,942,742,578,411,289,211,149,120,150
260,190492,222122,137114,51060,20265,6509,2844,1779,1356,1138,924,756,551,369,268,191,162,205
280,OVER,387798,228694,100009,53312,21409,9345,4799,2888,2014,1426,1102,788,527,382,278,229,279
300,OVER,OVER,215824,153596,111523,52550,24483,12554,6989,4482,2851,2014,1315,854,612,435,347,376
320,OVER,OVER,OVER,105525,91216,49659,25977,14467,8464,5603,3634,2592,1683,1099,759,527,413,464
340,6426,OVER,OVER,OVER,40424,28854,20318,14279,9888,7183,4914,3591,2345,1545,1048,727,547,576
360,126,2986,OVER,OVER,OVER,17852,15395,13437,10676,8285,5938,4366,2884,1849,1256,852,651,702
380,109,69,1911,OVER,OVER,OVER,8421,7402,6592,5545,4094,3060,2023,1305,900,608,482,650
400,85,65,81,1805,OVER,OVER,OVER,7751,3339,3114,2362,1854,1299,877,623,445,371,648
420,113,49,24,53,1530,OVER,OVER,OVER,4353,1588,1547,1198,893,663,486,370,352,798
440,66,22,19,17,34,1084,OVER,OVER,OVER,3990,817,954,692,483,380,308,320,770
460,58,37,13,24,34,55,1652,OVER,OVER,OVER,2120,607,654,472,332,266,287,660
480,76,44,33,38,67,87,186,3066,OVER,OVER,OVER,1359,375,369,382,260,261,558
500,85,49,22,32,32,31,44,121,2241,OVER,OVER,OVER,876,221,253,287,264,456
