B3,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640
240,116836,145544,92722,37267,17116,6936,3835,2855,2275,1874,1450,1120,781,525,365,248,185,200
260,165657,211242,140400,57298,25658,9599,4922,3602,2929,2472,1998,1653,1179,788,551,376,279,300
280,OVER,398868,249986,112904,59935,24259,11299,6390,4194,3093,2288,1776,1248,849,592,413,316,365
300,OVER,OVER,215226,150239,106886,50498,24228,12799,7517,4983,3236,2309,1511,990,692,493,382,425
320,OVER,OVER,OVER,98317,86295,48338,25853,14878,9035,6159,4068,2889,1882,1217,847,586,449,505
340,5615,OVER,OVER,OVER,38837,29284,21337,15734,11191,8250,5718,4183,2753,1774,1203,819,615,646
360,28,2518,OVER,OVER,OVER,18659,17038,15088,12317,9689,6980,5183,3393,2184,1456,972,736,844
380,-46,22,1666,OVER,OVER,OVER,8539,7882,7249,6189,4659,3512,2315,1505,999,672,529,816
400,-16,-6,14,1541,OVER,OVER,OVER,7664,3447,3250,2522,2021,1419,953,660,464,388,815
420,-27,-30,-5,30,1503,OVER,OVER,OVER,3436,1518,1531,1258,977,707,528,391,386,1085
440,-24,-19,-2,-1,16,944,OVER,OVER,OVER,3789,787,977,736,524,420,320,340,1096
460,-3,10,-15,-3,12,48,1483,OVER,OVER,OVER,1952,633,677,486,344,279,305,929
480,3,-14,4,7,38,69,154,2985,OVER,OVER,OVER,1191,390,361,362,252,267,760
500,-37,-30,-8,3,-2,5,28,100,2287,OVER,OVER,OVER,757,185,242,251,256,610
