E3,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640
240,1775,2598,1842,825,507,275,234,284,351,402,421,413,365,292,241,194,165,144
260,28281,3692,2602,992,577,316,300,391,511,612,675,677,606,499,417,338,294,247
280,OVER,33619,2803,1196,701,324,257,308,411,502,579,590,557,473,401,343,294,256
300,OVER,OVER,2372,795,587,327,258,269,314,371,407,429,399,352,295,259,233,210
320,2255133,OVER,OVER,2180,469,335,264,235,222,215,205,195,175,151,124,113,97,100
340,311,3364200,OVER,OVER,18516,315,265,233,198,165,135,101,82,59,51,42,37,44
360,233,266,OVER,OVER,OVER,25231,305,261,242,206,171,129,93,68,49,41,37,41
380,335,156,2092,OVER,OVER,OVER,4533,232,230,216,178,148,106,78,59,53,42,47
400,405,240,150,613,4600486,OVER,OVER,828,215,211,201,158,116,92,88,55,50,72
420,326,138,93,87,148,1822135,OVER,OVER,382,181,165,135,108,77,58,51,48,66
440,193,112,123,78,68,56,OVER,OVER,OVER,331,107,104,82,64,50,43,40,72
460,324,169,173,40,66,34,257,OVER,OVER,OVER,205,80,77,60,45,39,36,63
480,298,165,68,65,53,43,39,2198,OVER,OVER,OVER,161,55,54,35,33,38,48
500,513,286,213,126,103,51,41,29,3069,OVER,OVER,OVER,132,56,57,38,42,71
