A9,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640
240,2052,5404,5095,2590,1467,621,395,397,445,487,514,516,454,375,299,245,211,186
260,22042,5738,5203,2382,1386,606,417,462,569,669,732,750,666,568,463,380,318,282
280,OVER,29146,8419,4167,2331,814,421,383,458,554,608,634,596,511,427,360,310,297
300,OVER,OVER,4967,2361,1458,604,344,292,326,381,419,437,415,357,321,276,243,245
320,2126339,OVER,OVER,1347,535,364,267,224,206,204,197,202,186,160,138,123,115,142
340,316,3739188,OVER,OVER,10641,422,312,248,203,169,142,114,99,80,54,57,48,105
360,223,418,OVER,OVER,OVER,13020,357,304,264,217,178,143,110,70,62,54,54,123
380,305,194,1617,OVER,OVER,OVER,2530,216,210,189,156,142,112,81,64,60,67,152
400,454,265,179,590,OVER,OVER,OVER,451,175,164,152,126,106,92,73,76,71,200
420,380,318,159,93,151,2122096,OVER,OVER,234,141,131,121,100,97,74,79,90,272
440,291,156,151,104,64,56,OVER,OVER,OVER,203,102,100,92,78,63,68,87,292
460,376,250,144,79,64,44,229,OVER,OVER,OVER,145,94,79,67,58,54,69,248
480,406,253,139,106,72,45,51,2257,OVER,OVER,OVER,127,70,59,54,44,68,225
500,525,314,191,126,112,45,51,63,3028,OVER,OVER,OVER,105,73,57,41,56,224
