C3,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640
240,1149,1877,1324,526,373,238,241,306,384,445,468,450,394,327,259,210,177,156
260,15859,3610,2464,845,474,286,309,420,551,664,725,715,648,529,437,360,302,252
280,6378807,17210,1222,500,351,229,234,311,420,519,602,611,563,477,406,344,293,254
300,OVER,OVER,788,343,350,244,226,244,291,349,393,411,380,341,295,251,226,196
320,2333053,OVER,OVER,1078,396,271,218,196,188,182,175,165,151,132,114,100,86,83
340,172,3243739,OVER,OVER,9014,274,270,227,182,146,104,72,59,42,32,26,20,14
360,42,233,4819539,OVER,OVER,11534,388,356,285,218,150,106,66,45,30,21,19,11
380,95,83,1470,4035189,OVER,OVER,2389,348,289,232,165,121,80,53,38,16,26,14
400,46,74,122,460,3773410,OVER,OVER,492,254,213,163,100,78,62,30,25,23,19
420,151,59,7,-10,74,1384156,OVER,OVER,231,131,114,81,53,42,31,18,21,36
440,60,13,-19,-21,21,31,OVER,OVER,OVER,180,67,64,41,31,25,22,18,18
460,6,19,10,30,14,2,203,OVER,OVER,OVER,111,51,49,30,16,27,14,13
480,122,56,19,40,-5,13,27,2267,OVER,OVER,OVER,98,29,29,24,19,5,11
500,235,193,133,3,-10,25,21,18,2167,OVER,OVER,OVER,98,20,2,23,19,3
