F5,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640
240,1330,1807,1129,447,323,234,220,287,356,415,435,432,366,302,236,197,161,126
260,29351,3035,2006,692,409,269,288,400,538,644,697,696,617,521,419,345,288,235
280,OVER,31506,1339,505,359,229,235,304,414,519,594,618,563,483,404,343,294,255
300,OVER,OVER,1648,378,359,268,234,256,304,361,417,422,397,347,295,257,225,190
320,2057668,OVER,OVER,2067,394,299,236,207,207,198,192,180,162,140,118,96,79,76
340,37,3493330,OVER,OVER,17495,292,230,200,174,146,118,85,57,33,22,15,11,11
360,-119,123,OVER,OVER,OVER,21928,271,235,220,187,144,103,75,37,23,21,8,4
380,-45,-30,1649,OVER,OVER,OVER,4526,207,207,195,148,115,75,57,28,24,13,5
400,50,-90,-39,508,4802853,OVER,OVER,796,182,168,155,116,76,44,29,17,7,15
420,-156,-105,-61,-18,15,1893206,OVER,OVER,384,138,133,101,75,42,18,26,2,0
440,-170,-25,-89,-5,-18,19,OVER,OVER,OVER,290,80,78,56,37,24,5,4,-7
460,-131,-36,-45,-39,-55,-16,240,OVER,OVER,OVER,182,47,43,28,20,8,9,-5
480,-209,-161,-62,-61,-25,0,-2,2024,OVER,OVER,OVER,119,27,10,14,7,3,-11
500,-125,-139,-55,-19,3,-15,-8,-11,3278,OVER,OVER,OVER,88,14,4,-3,11,-6
