"group_code","sample_set","batch","replicate","sample_id","container_type","eem_present","raman_present","hplc_present","matching_measurements","eem_file","raman_file","hplc_status"
"EG","MSStandards","4","1","A1","Plate","False","True","False","Raman only","","C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\Raman\Raman_EG_MSStandards_raw_004_001_A1.CSV","reference workbook missing from local extraction"
"EG","MSStandards","4","1","A10","Plate","False","True","False","Raman only","","C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\Raman\Raman_EG_MSStandards_raw_004_001_A10.CSV","reference workbook missing from local extraction"
"EG","MSStandards","4","1","A11","Plate","False","True","False","Raman only","","C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\Raman\Raman_EG_MSStandards_raw_004_001_A11.CSV","reference workbook missing from local extraction"
"EG","MSStandards","4","1","A2","Plate","False","True","False","Raman only","","C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\Raman\Raman_EG_MSStandards_raw_004_001_A2.CSV","reference workbook missing from local extraction"
"EG","MSStandards","4","1","A3","Plate","False","True","False","Raman only","","C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\Raman\Raman_EG_MSStandards_raw_004_001_A3.CSV","reference workbook missing from local extraction"
"EG","MSStandards","4","1","A4","Plate","False","True","False","Raman only","","C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\Raman\Raman_EG_MSStandards_raw_004_001_A4.CSV","reference workbook missing from local extraction"
"EG","MSStandards","4","1","A5","Plate","False","True","False","Raman only","","C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\Raman\Raman_EG_MSStandards_raw_004_001_A5.CSV","reference workbook missing from local extraction"
"EG","MSStandards","4","1","A6","Plate","False","True","False","Raman only","","C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\Raman\Raman_EG_MSStandards_raw_004_001_A6.CSV","reference workbook missing from local extraction"
"EG","MSStandards","4","1","A7","Plate","False","True","False","Raman only","","C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\Raman\Raman_EG_MSStandards_raw_004_001_A7.CSV","reference workbook missing from local extraction"
"EG","MSStandards","4","1","A8","Plate","False","True","False","Raman only","","C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\Raman\Raman_EG_MSStandards_raw_004_001_A8.CSV","reference workbook missing from local extraction"
"EG","MSStandards","4","1","A9","Plate","False","True","False","Raman only","","C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\Raman\Raman_EG_MSStandards_raw_004_001_A9.CSV","reference workbook missing from local extraction"
"EG","MSStandards","4","1","B1","Plate","False","True","False","Raman only","","C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\Raman\Raman_EG_MSStandards_raw_004_001_B1.CSV","reference workbook missing from local extraction"
"EG","MSStandards","4","1","B10","Plate","False","True","False","Raman only","","C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\Raman\Raman_EG_MSStandards_raw_004_001_B10.CSV","reference workbook missing from local extraction"
"EG","MSStandards","4","1","B11","Plate","False","True","False","Raman only","","C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\Raman\Raman_EG_MSStandards_raw_004_001_B11.CSV","reference workbook missing from local extraction"
"EG","MSStandards","4","1","B2","Plate","False","True","False","Raman only","","C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\Raman\Raman_EG_MSStandards_raw_004_001_B2.CSV","reference workbook missing from local extraction"
