"﻿""group_code""",sample_set,batch,replicate,sample_id,container_type,eem_present,raman_present,hplc_present,matching_measurements,eem_file,raman_file,hplc_status,plate_metadata_present,eem_plate_metadata_present,raman_plate_metadata_present,metadata_experiment,metadata_plate,metadata_well,metadata_media,legend_treatment_label,metadata_strain,metadata_date,metadata_comment,metadata_culture_duration_hours,metadata_od750,metadata_support,metadata_data_type,hplc_sample_code,hplc_sample_legend_present,hplc_sample_date,hplc_total_volume_centrifuged_ml_per_falcon,hplc_number_of_falcons,hplc_legend_note_1,hplc_legend_note_2,hplc_quantitative_reference_present,hplc_quantitative_reference_status
EG,MSStandards,4,1,A1,Plate,False,True,False,Raman only,,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\Raman\Raman_EG_MSStandards_raw_004_001_A1.CSV,reference workbook missing from local extraction,True,False,True,4,1,A1,2026-03-11T00:00:00Z,Rha (5),MSStandards,NA,Raman trial,NA,unk,NA,,,False,,,,,,False,No quantitative HPLC reference table found in current folder
EG,MSStandards,4,1,A10,Plate,False,True,False,Raman only,,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\Raman\Raman_EG_MSStandards_raw_004_001_A10.CSV,reference workbook missing from local extraction,True,False,True,4,1,A10,2026-03-11T00:00:00Z,Rha-Glu (0.01),MSStandards,NA,Raman trial,NA,unk,NA,,,False,,,,,,False,No quantitative HPLC reference table found in current folder
EG,MSStandards,4,1,A11,Plate,False,True,False,Raman only,,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\Raman\Raman_EG_MSStandards_raw_004_001_A11.CSV,reference workbook missing from local extraction,True,False,True,4,1,A11,2026-03-11T00:00:00Z,Rha-Xyl (0.1),MSStandards,NA,Raman trial,NA,unk,NA,,,False,,,,,,False,No quantitative HPLC reference table found in current folder
EG,MSStandards,4,1,A2,Plate,False,True,False,Raman only,,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\Raman\Raman_EG_MSStandards_raw_004_001_A2.CSV,reference workbook missing from local extraction,True,False,True,4,1,A2,2026-03-11T00:00:00Z,Rha (1),MSStandards,NA,Raman trial,NA,unk,NA,,,False,,,,,,False,No quantitative HPLC reference table found in current folder
EG,MSStandards,4,1,A3,Plate,False,True,False,Raman only,,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\Raman\Raman_EG_MSStandards_raw_004_001_A3.CSV,reference workbook missing from local extraction,True,False,True,4,1,A3,2026-03-11T00:00:00Z,Rha (0.25),MSStandards,NA,Raman trial,NA,unk,NA,,,False,,,,,,False,No quantitative HPLC reference table found in current folder
EG,MSStandards,4,1,A4,Plate,False,True,False,Raman only,,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\Raman\Raman_EG_MSStandards_raw_004_001_A4.CSV,reference workbook missing from local extraction,True,False,True,4,1,A4,2026-03-11T00:00:00Z,Rha (0.05),MSStandards,NA,Raman trial,NA,unk,NA,,,False,,,,,,False,No quantitative HPLC reference table found in current folder
EG,MSStandards,4,1,A5,Plate,False,True,False,Raman only,,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\Raman\Raman_EG_MSStandards_raw_004_001_A5.CSV,reference workbook missing from local extraction,True,False,True,4,1,A5,2026-03-11T00:00:00Z,Rha (0.01),MSStandards,NA,Raman trial,NA,unk,NA,,,False,,,,,,False,No quantitative HPLC reference table found in current folder
EG,MSStandards,4,1,A6,Plate,False,True,False,Raman only,,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\Raman\Raman_EG_MSStandards_raw_004_001_A6.CSV,reference workbook missing from local extraction,True,False,True,4,1,A6,2026-03-11T00:00:00Z,Glu (1),MSStandards,NA,Raman trial,NA,unk,NA,,,False,,,,,,False,No quantitative HPLC reference table found in current folder
EG,MSStandards,4,1,A7,Plate,False,True,False,Raman only,,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\Raman\Raman_EG_MSStandards_raw_004_001_A7.CSV,reference workbook missing from local extraction,True,False,True,4,1,A7,2026-03-11T00:00:00Z,Glu (0.25),MSStandards,NA,Raman trial,NA,unk,NA,,,False,,,,,,False,No quantitative HPLC reference table found in current folder
EG,MSStandards,4,1,A8,Plate,False,True,False,Raman only,,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\Raman\Raman_EG_MSStandards_raw_004_001_A8.CSV,reference workbook missing from local extraction,True,False,True,4,1,A8,2026-03-11T00:00:00Z,Glu (0.075),MSStandards,NA,Raman trial,NA,unk,NA,,,False,,,,,,False,No quantitative HPLC reference table found in current folder
EG,MSStandards,4,1,A9,Plate,False,True,False,Raman only,,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\Raman\Raman_EG_MSStandards_raw_004_001_A9.CSV,reference workbook missing from local extraction,True,False,True,4,1,A9,2026-03-11T00:00:00Z,Glu (0.01),MSStandards,NA,Raman trial,NA,unk,NA,,,False,,,,,,False,No quantitative HPLC reference table found in current folder
