sample_set,batch,replicate,sample_id,container_type,hplc_present,matching_measurements,hplc_status,plate_metadata_present,metadata_experiment,metadata_plate,metadata_well,metadata_media,legend_treatment_label,metadata_strain,metadata_date,metadata_comment,metadata_culture_duration_hours,metadata_od750,metadata_support,metadata_data_type,hplc_sample_code,hplc_sample_legend_present,hplc_sample_date,hplc_total_volume_centrifuged_ml_per_falcon,hplc_number_of_falcons,hplc_legend_note_1,hplc_legend_note_2,hplc_quantitative_reference_present,hplc_quantitative_reference_status,group_code,r735_mean,r735_max,r735_sum,r905_mean,r905_max,r905_sum,r1156_mean,r1156_max,r1156_sum,r1408_mean,r1408_max,r1408_sum,r1523_mean,r1523_max,r1523_sum,r1878_mean,r1878_max,r1878_sum,target_source,rhamnose_gL,xylose_gL,glucose_gL,parafac_selected_rank,parafac_score_c1,parafac_score_c2,parafac_score_c3,parafac_score_c4,parafac_score_c5,parafac_score_c6
MSStandards,4,1,A10,Plate,False,Raman only,reference workbook missing from local extraction,True,4,1,A10,2026-03-11T00:00:00Z,Rha-Glu (0.01),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,35.555598,41.012310,2560.003070,52.099250,61.171910,3751.145990,9.494405,17.743040,693.091573,1.654179,4.154121,129.025939,3.014505,10.709940,217.044385,-0.033382,3.672737,-2.603775,known_standard_or_spike,0.01,0,0.01,6,0.022856721,9.9047208e-05,3.6824811e-31,0.045078782,5.3763972e-24,0.041446955
MSStandards,4,1,A11,Plate,False,Raman only,reference workbook missing from local extraction,True,4,1,A11,2026-03-11T00:00:00Z,Rha-Xyl (0.1),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,39.177819,46.970150,2820.802960,53.339068,61.847290,3840.412880,9.300591,17.853590,678.943113,1.328658,4.303391,103.635308,3.873763,12.541980,278.910933,0.098641,2.898529,7.694027,known_standard_or_spike,0.1,0.1,0,6,0.019247716,6.5204123e-05,4.268636e-30,0.033911347,2.9710246e-19,0.029079247
MSStandards,4,1,A2,Plate,False,Raman only,reference workbook missing from local extraction,True,4,1,A2,2026-03-11T00:00:00Z,Rha (1),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,36.245042,42.245420,2609.643010,52.489333,60.540570,3779.232010,9.525904,17.863980,695.391012,2.457837,7.823799,191.711272,3.733835,10.339980,268.836131,-0.352793,2.732430,-27.517889,known_standard_or_spike,1,0,0,6,0.02703367,2.6563049e-05,9.9373864e-33,0.056170808,2.9063235e-28,0.049428795
MSStandards,4,1,A3,Plate,False,Raman only,reference workbook missing from local extraction,True,4,1,A3,2026-03-11T00:00:00Z,Rha (0.25),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,0.746595,7.931458,53.754852,29.065138,37.632630,2092.689940,-1.351732,5.553375,-98.676421,-0.592188,6.102875,-46.190672,3.721945,10.862790,267.980008,-0.340240,4.852875,-26.538727,known_standard_or_spike,0.25,0,0,6,0.025516059,8.8220693e-05,4.3670033e-35,0.048120293,2.1871087e-24,0.037364588
MSStandards,4,1,A4,Plate,False,Raman only,reference workbook missing from local extraction,True,4,1,A4,2026-03-11T00:00:00Z,Rha (0.05),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,38.530868,43.098270,2774.222480,53.519000,59.970460,3853.367970,9.486119,17.473920,692.486722,2.264823,6.418381,176.656194,4.177832,12.389420,300.803931,-0.397711,2.462852,-31.021433,known_standard_or_spike,0.05,0,0,6,0.024159603,4.8389653e-05,4.3769529e-32,0.05143923,1.8443952e-26,0.042004157
MSStandards,4,1,A5,Plate,False,Raman only,reference workbook missing from local extraction,True,4,1,A5,2026-03-11T00:00:00Z,Rha (0.01),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,38.187723,42.466650,2749.516070,52.231201,62.885990,3760.646440,9.181549,16.333320,670.253077,2.007421,5.221298,156.578803,3.600707,9.249603,259.250908,-0.323227,3.418480,-25.211701,known_standard_or_spike,0.01,0,0,6,0.024362235,7.725827e-05,1.2933808e-36,0.044959111,2.8513514e-24,0.037585157
MSStandards,4,1,A6,Plate,False,Raman only,reference workbook missing from local extraction,True,4,1,A6,2026-03-11T00:00:00Z,Glu (1),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,29.536972,43.761840,2126.661990,85.158176,98.353940,6131.388640,74.184147,84.992070,5415.442700,80.055077,89.152830,6244.296000,75.838301,86.599370,5460.357680,20.157357,29.144710,1572.273883,known_standard_or_spike,0,0,1,6,0.023796091,3.9487303e-05,3.6487701e-33,0.048422464,9.699813e-26,0.041478995
MSStandards,4,1,A7,Plate,False,Raman only,reference workbook missing from local extraction,True,4,1,A7,2026-03-11T00:00:00Z,Glu (0.25),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,39.945762,45.523850,2876.094860,55.460105,62.942500,3993.127550,10.896938,19.863960,795.476453,2.527464,5.940636,197.142219,4.982678,10.871800,358.752828,0.208662,2.602158,16.275605,known_standard_or_spike,0,0,0.25,6,0.022613359,0.00012466844,7.4433902e-32,0.042636142,1.0460185e-23,0.035618859
MSStandards,4,1,A8,Plate,False,Raman only,reference workbook missing from local extraction,True,4,1,A8,2026-03-11T00:00:00Z,Glu (0.075),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,40.050751,45.968690,2883.654060,54.071045,62.163650,3893.115210,9.233813,16.599270,674.068349,1.581690,5.489204,123.371813,3.000154,9.788544,216.011116,-0.542464,2.164810,-42.312215,known_standard_or_spike,0,0,0.075,6,0.021577953,0.00010320317,6.9949546e-32,0.04088873,1.6809366e-22,0.034738057
MSStandards,4,1,A9,Plate,False,Raman only,reference workbook missing from local extraction,True,4,1,A9,2026-03-11T00:00:00Z,Glu (0.01),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,35.348486,39.223040,2545.090970,51.206460,59.310100,3686.865150,10.556453,18.684680,770.621101,3.191833,6.859795,248.963005,5.363826,12.967860,386.195463,-0.555030,2.585838,-43.292322,known_standard_or_spike,0,0,0.01,6,0.018510535,0.00013925064,2.5258258e-28,0.036992998,9.1419601e-21,0.029899116
