feature_strategy,model_category,model,config,split,n_samples,n_train,n_test,n_features_raw,n_features_selected,rmse,mae,r2,status
EEM interpretable,Statistics,Mean baseline,mean,0,148,111,37,16,12,0.3314980398280951,0.28472364256148047,-0.11812591500314462,ok
EEM interpretable,Statistics,Linear regression,ols,0,148,111,37,16,16,0.35801690757652077,0.28013108149873145,-0.304174960649398,ok
EEM interpretable,Statistics,Ridge,alpha=10,0,148,111,37,16,16,0.36539481034227805,0.3116470806973645,-0.35848089001421,ok
EEM interpretable,Statistics,Lasso,alpha=0.001,0,148,111,37,16,16,0.36254035307356863,0.2911990865002159,-0.337338940636319,ok
EEM interpretable,Statistics,Elastic Net,"alpha=0.001,l1_ratio=0.2",0,148,111,37,16,16,0.3593507862923588,0.2846941617298004,-0.31391110358769336,ok
EEM interpretable,Chemometrics,PLSR,n_components=2,0,148,111,37,16,16,0.3731018838462673,0.3201424679126026,-0.41639266022532095,ok
EEM interpretable,Chemometrics,PLSR,n_components=5,0,148,111,37,16,16,0.3618744738556455,0.2914483939768206,-0.3324308612884028,ok
EEM interpretable,Chemometrics,PCR + Ridge,n_components=5,0,148,111,37,16,16,0.3788277703762703,0.3271374039853291,-0.4602001868764469,ok
EEM interpretable,ML,SVR linear,"C=1,epsilon=0.05",0,148,111,37,16,16,0.32606489077445394,0.1603071273936984,-0.08177480089656841,ok
EEM interpretable,ML,SVR RBF,"C=10,epsilon=0.05",0,148,111,37,16,16,0.39448423709340874,0.2515306613003189,-0.5833907091969657,ok
EEM interpretable,ML,Weighted kNN,"k=3,distance",0,148,111,37,16,16,0.38197899932653767,0.23400028728930608,-0.4845941919518406,ok
EEM interpretable,ML,Kernel ridge,"rbf,alpha=0.1",0,148,111,37,16,16,0.3670493093666209,0.2602873477534374,-0.37081108078367153,ok
EEM interpretable,ML,Random forest,"n=250,max_depth=4",0,148,111,37,16,16,0.3972391885632449,0.26192595023669873,-0.6055837203724594,ok
EEM interpretable,ML,Extra trees,"n=250,max_depth=4",0,148,111,37,16,16,0.3375515065383319,0.25162751864146377,-0.15933483406760818,ok
EEM interpretable,DL,ANN MLP,"hidden=(32,16),early_stop",0,148,111,37,16,16,0.3919836053008589,0.31643903388620515,-0.5633801372526432,ok
EEM interpretable,ML,XGBoost,"n=250,depth=2,eta=0.05",0,148,111,37,16,16,0.4256691149352325,0.30055193943147723,-0.843627020970632,ok
EEM interpretable,Statistics,Mean baseline,mean,1,148,111,37,16,12,0.548383706499764,0.35666179693206723,-0.056190299538443345,ok
EEM interpretable,Statistics,Linear regression,ols,1,148,111,37,16,16,0.5609149129252328,0.3666483531147262,-0.10501217357177572,ok
EEM interpretable,Statistics,Ridge,alpha=10,1,148,111,37,16,16,0.5455782511281196,0.3639655585070072,-0.04541129453754156,ok
EEM interpretable,Statistics,Lasso,alpha=0.001,1,148,111,37,16,16,0.5536186824081594,0.36533214474662307,-0.07645173975872921,ok
EEM interpretable,Statistics,Elastic Net,"alpha=0.001,l1_ratio=0.2",1,148,111,37,16,16,0.5577524538443338,0.3660125114839124,-0.09258709987533087,ok
EEM interpretable,Chemometrics,PLSR,n_components=2,1,148,111,37,16,16,0.5374919786314818,0.36331941198039425,-0.014651878924893502,ok
EEM interpretable,Chemometrics,PLSR,n_components=5,1,148,111,37,16,16,0.5532916070699715,0.3664332286508723,-0.07518019013746158,ok
EEM interpretable,Chemometrics,PCR + Ridge,n_components=5,1,148,111,37,16,16,0.552237997045936,0.36820450211576283,-0.07108924778415027,ok
