feature_strategy,model_category,model,config,n_splits,n_samples,n_features_raw,n_features_selected,mean_rmse,std_rmse,mean_mae,mean_r2
EEM full + PARAFAC,ML,Random forest,"n=250,max_depth=4",5,148,180,96,0.34375871306738853,0.04435608915270386,0.23247881803707857,0.19343577220302638
EEM unfolded full,ML,Extra trees,"n=250,max_depth=4",5,148,174,96,0.34448071578262485,0.057574540654959136,0.23712150646609204,0.19817011810106058
EEM full + PARAFAC,ML,Extra trees,"n=250,max_depth=4",5,148,180,96,0.34495801901207523,0.05738643229534975,0.23601306321790866,0.19480018575011332
EEM unfolded full,ML,Random forest,"n=250,max_depth=4",5,148,174,96,0.3467127827300873,0.045032051363305514,0.23464023490191802,0.17837093433441178
EEM full + PARAFAC,ML,XGBoost,"n=250,depth=2,eta=0.05",5,148,180,180,0.370772527936292,0.04535932573085745,0.23971804034075625,0.04201605947382947
EEM unfolded full,ML,XGBoost,"n=250,depth=2,eta=0.05",5,148,174,174,0.3759622744560832,0.04041903317763061,0.24373452170003157,0.005546846947092732
EEM + Raman full,ML,Extra trees,"n=250,max_depth=4",5,150,1675,96,0.37943442439853975,0.09504570990339263,0.2731713528108828,0.02606416243550307
EEM unfolded full,Chemometrics,PLSR,n_components=5,5,148,174,174,0.37981694296680557,0.0689922231207144,0.2714234413323312,0.07847947395975947
EEM + Raman full,ML,Random forest,"n=250,max_depth=4",5,150,1675,96,0.3825801839224089,0.08563897196315755,0.2706203502714691,-0.014444149182695676
EEM full + processed Raman,ML,Random forest,"n=250,max_depth=4",5,150,349,96,0.3900820067886379,0.09328618390263456,0.26834985669444633,-0.015158222427383872
EEM full + processed Raman,ML,Extra trees,"n=250,max_depth=4",5,150,349,96,0.3908588427754279,0.12457658767556581,0.27600943316041804,0.02413580727183735
EEM unfolded full,Chemometrics,PLSR,n_components=2,5,148,174,174,0.39655522536666876,0.06065071296465582,0.26807174758830166,-0.021702424289263323
Raman interpretable,ML,XGBoost,"n=250,depth=2,eta=0.05",5,150,27,27,0.39813020944914435,0.10928492711067596,0.26272282414307424,0.0006649206907057614
EEM unfolded full,Chemometrics,PCR + Ridge,n_components=5,5,148,174,174,0.4027660897735933,0.058806700783910454,0.2753901269545209,-0.05186697615309628
EEM PARAFAC scores,Statistics,Ridge,alpha=10,5,148,6,6,0.4031508362914993,0.1085391607112265,0.2919611560960692,-0.0005475417252184922
EEM full + PARAFAC,ML,Kernel ridge,"rbf,alpha=0.1",5,148,180,180,0.4042849791769886,0.10940955233002886,0.2460016452818703,0.024830070648621104
