target,cohort,feature_set,model,config,n_repeats,mean_rmse,std_rmse,mean_mae,mean_r2,mean_improvement_vs_test_mean_pct
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,max_features=12,y_transform=none",10,0.59378797,0.13923411,0.34958824,-0.23015819,5.8580199
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,max_features=12,y_transform=log1p",10,0.59378797,0.13923411,0.34958824,-0.23015819,5.8580199
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,max_features=24,y_transform=none",10,0.59378797,0.13923411,0.34958824,-0.23015819,5.8580199
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,max_features=24,y_transform=log1p",10,0.59378797,0.13923411,0.34958824,-0.23015819,5.8580199
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,max_features=48,y_transform=none",10,0.59378797,0.13923411,0.34958824,-0.23015819,5.8580199
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,max_features=48,y_transform=log1p",10,0.59378797,0.13923411,0.34958824,-0.23015819,5.8580199
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,max_features=96,y_transform=none",10,0.59378797,0.13923411,0.34958824,-0.23015819,5.8580199
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,max_features=96,y_transform=log1p",10,0.59378797,0.13923411,0.34958824,-0.23015819,5.8580199
glucose_gL,target_focused,eem_interpretable,knn,"k=3,weighted=True,max_features=12,y_transform=none",10,0.68130402,0.17041903,0.46075564,-0.50571565,-4.2109396
glucose_gL,target_focused,eem_interpretable,knn,"k=3,weighted=True,max_features=24,y_transform=none",10,0.68130402,0.17041903,0.46075564,-0.50571565,-4.2109396
glucose_gL,target_focused,eem_interpretable,knn,"k=3,weighted=True,max_features=48,y_transform=none",10,0.68130402,0.17041903,0.46075564,-0.50571565,-4.2109396
glucose_gL,target_focused,eem_interpretable,knn,"k=3,weighted=True,max_features=96,y_transform=none",10,0.68130402,0.17041903,0.46075564,-0.50571565,-4.2109396
glucose_gL,all_known,eem_full,knn,"k=3,weighted=True,max_features=192,y_transform=log1p",10,0.70105132,0.32240176,0.35894461,-0.21659835,-6.2727507
glucose_gL,all_known,eem_full,knn,"k=3,weighted=True,max_features=384,y_transform=log1p",10,0.70105132,0.32240176,0.35894461,-0.21659835,-6.2727507
glucose_gL,all_known,eem_full,knn,"k=5,weighted=True,max_features=192,y_transform=log1p",10,0.72571621,0.32249882,0.37852809,-0.24176781,-8.2719287
glucose_gL,all_known,eem_full,knn,"k=5,weighted=True,max_features=384,y_transform=log1p",10,0.72571621,0.32249882,0.37852809,-0.24176781,-8.2719287
glucose_gL,all_known,eem_full,knn,"k=3,weighted=True,max_features=192,y_transform=none",10,0.73748875,0.28764251,0.39305757,-0.80336609,-22.144878
glucose_gL,all_known,eem_full,knn,"k=3,weighted=True,max_features=384,y_transform=none",10,0.73748875,0.28764251,0.39305757,-0.80336609,-22.144878
glucose_gL,all_known,fusion_full,knn,"k=9,weighted=True,max_features=96,y_transform=log1p",10,0.73911651,0.36372539,0.3491115,-0.31469634,-11.134374
glucose_gL,all_known,fusion_full,knn,"k=9,weighted=True,max_features=192,y_transform=log1p",10,0.73916307,0.35835787,0.3479329,-0.32087753,-11.358783
glucose_gL,all_known,eem_full,knn,"k=9,weighted=True,max_features=96,y_transform=log1p",10,0.7404162,0.34545653,0.37794863,-0.18242895,-7.2072685
glucose_gL,all_known,fusion_full,pls,"n_components=3,alpha=1.0,max_features=384,y_transform=log1p",10,0.74119562,0.35693008,0.36361052,-0.34245275,-12.089094
glucose_gL,all_known,eem_full,knn,"k=5,weighted=True,max_features=96,y_transform=log1p",10,0.74247727,0.32866801,0.37634207,-0.24572354,-9.4269382
glucose_gL,all_known,fusion_full,knn,"k=5,weighted=True,max_features=96,y_transform=log1p",10,0.74349971,0.36494008,0.35697697,-0.28961149,-10.732493
glucose_gL,all_known,fusion_full,knn,"k=9,weighted=True,max_features=384,y_transform=log1p",10,0.74378238,0.35420906,0.35493238,-0.35355586,-12.55616
glucose_gL,all_known,eem_full,knn,"k=9,weighted=True,max_features=192,y_transform=log1p",10,0.74415371,0.34281473,0.38295549,-0.2257659,-8.7398613
glucose_gL,all_known,eem_full,knn,"k=9,weighted=True,max_features=384,y_transform=log1p",10,0.74415371,0.34281473,0.38295549,-0.2257659,-8.7398613
glucose_gL,all_known,fusion_full,pcr,"n_components=8,alpha=1.0,max_features=48,y_transform=log1p",10,0.74455516,0.3707003,0.36083042,-0.28537339,-10.553194
glucose_gL,all_known,eem_interpretable,pcr,"n_components=2,alpha=1.0,max_features=12,y_transform=log1p",10,0.7451864,0.37337368,0.36315183,-0.097180847,-4.3672398
glucose_gL,all_known,eem_interpretable,pcr,"n_components=2,alpha=1.0,max_features=24,y_transform=log1p",10,0.7451864,0.37337368,0.36315183,-0.097180847,-4.3672398
glucose_gL,all_known,eem_interpretable,pcr,"n_components=2,alpha=1.0,max_features=48,y_transform=log1p",10,0.7451864,0.37337368,0.36315183,-0.097180847,-4.3672398
glucose_gL,all_known,eem_interpretable,pcr,"n_components=2,alpha=1.0,max_features=96,y_transform=log1p",10,0.7451864,0.37337368,0.36315183,-0.097180847,-4.3672398
glucose_gL,all_known,fusion_full,knn,"k=5,weighted=True,max_features=48,y_transform=log1p",10,0.74532933,0.38138909,0.34530254,-0.24535351,-8.9731956
glucose_gL,all_known,fusion_full,pcr,"n_components=12,alpha=1.0,max_features=192,y_transform=log1p",10,0.74557272,0.36323627,0.36205046,-0.32231368,-11.717369
glucose_gL,all_known,fusion_full,pcr,"n_components=5,alpha=1.0,max_features=48,y_transform=log1p",10,0.74583163,0.37008604,0.36134872,-0.28650308,-10.736967
glucose_gL,all_known,fusion_full,knn,"k=5,weighted=True,max_features=24,y_transform=log1p",10,0.74599228,0.38950033,0.33982057,-0.19802196,-7.4122418
glucose_gL,all_known,fusion_full,pcr,"n_components=5,alpha=1.0,max_features=96,y_transform=log1p",10,0.74600399,0.36814069,0.35919535,-0.29678709,-11.119096
glucose_gL,all_known,eem_full,pls,"n_components=2,alpha=1.0,max_features=96,y_transform=log1p",10,0.74613814,0.3530511,0.3766414,-0.1862389,-7.5772757
glucose_gL,all_known,fusion_full,knn,"k=3,weighted=True,max_features=48,y_transform=log1p",10,0.74668552,0.36854861,0.34209855,-0.35522284,-12.044474
glucose_gL,all_known,fusion_full,knn,"k=9,weighted=True,max_features=24,y_transform=log1p",10,0.74709286,0.37725656,0.34331475,-0.25893622,-9.6984426
glucose_gL,all_known,eem_interpretable,pcr,"n_components=3,alpha=1.0,max_features=12,y_transform=log1p",10,0.74710179,0.37439833,0.36415096,-0.10259342,-4.6293906
glucose_gL,all_known,eem_interpretable,pcr,"n_components=3,alpha=1.0,max_features=24,y_transform=log1p",10,0.74710179,0.37439833,0.36415096,-0.10259342,-4.6293906
glucose_gL,all_known,eem_interpretable,pcr,"n_components=3,alpha=1.0,max_features=48,y_transform=log1p",10,0.74710179,0.37439833,0.36415096,-0.10259342,-4.6293906
glucose_gL,all_known,eem_interpretable,pcr,"n_components=3,alpha=1.0,max_features=96,y_transform=log1p",10,0.74710179,0.37439833,0.36415096,-0.10259342,-4.6293906
glucose_gL,all_known,eem_full,pls,"n_components=2,alpha=1.0,max_features=192,y_transform=log1p",10,0.74725665,0.35353148,0.37855544,-0.18732803,-7.6522644
glucose_gL,all_known,eem_full,pls,"n_components=2,alpha=1.0,max_features=384,y_transform=log1p",10,0.74725665,0.35353148,0.37855544,-0.18732803,-7.6522644
glucose_gL,all_known,eem_full,pcr,"n_components=3,alpha=1.0,max_features=48,y_transform=log1p",10,0.74750455,0.35661712,0.37451935,-0.17606479,-7.2992019
glucose_gL,all_known,eem_full,pcr,"n_components=5,alpha=1.0,max_features=192,y_transform=log1p",10,0.74756759,0.35920325,0.37540515,-0.16412828,-6.8983366
glucose_gL,all_known,eem_full,pcr,"n_components=5,alpha=1.0,max_features=384,y_transform=log1p",10,0.74756759,0.35920325,0.37540515,-0.16412828,-6.8983366
glucose_gL,all_known,fusion_full,pcr,"n_components=8,alpha=1.0,max_features=24,y_transform=log1p",10,0.74788747,0.37239669,0.36027036,-0.29536643,-10.914171
glucose_gL,all_known,eem_full,pcr,"n_components=3,alpha=1.0,max_features=96,y_transform=log1p",10,0.74790345,0.3568905,0.37348592,-0.17476541,-7.2794163
glucose_gL,all_known,eem_interpretable,pls,"n_components=2,alpha=1.0,max_features=12,y_transform=log1p",10,0.74820091,0.37021311,0.36755291,-0.12218359,-5.3877725
glucose_gL,all_known,eem_interpretable,pls,"n_components=2,alpha=1.0,max_features=24,y_transform=log1p",10,0.74820091,0.37021311,0.36755291,-0.12218359,-5.3877725
glucose_gL,all_known,eem_interpretable,pls,"n_components=2,alpha=1.0,max_features=48,y_transform=log1p",10,0.74820091,0.37021311,0.36755291,-0.12218359,-5.3877725
glucose_gL,all_known,eem_interpretable,pls,"n_components=2,alpha=1.0,max_features=96,y_transform=log1p",10,0.74820091,0.37021311,0.36755291,-0.12218359,-5.3877725
glucose_gL,all_known,eem_full,pls,"n_components=2,alpha=1.0,max_features=48,y_transform=log1p",10,0.748276,0.35414585,0.37659917,-0.19105249,-7.8299844
glucose_gL,all_known,fusion_full,knn,"k=9,weighted=True,max_features=48,y_transform=log1p",10,0.74890244,0.36759336,0.35140041,-0.36575188,-12.552136
