target,cohort,feature_set,model,config,seed,rmse,mae,r2,improvement_vs_test_mean_pct
rhamnose_gL,all_known,eem_interpretable,sklearn_plsr,"n_components=2,max_features=192",0,0.3733121929257012,0.2813431587606294,-0.009280527247586212,-0.4629547269831476
rhamnose_gL,all_known,eem_interpretable,sklearn_plsr,"n_components=5,max_features=192",0,0.42272628995194156,0.2943832278565264,-0.2941543027733826,-13.760902896090917
rhamnose_gL,all_known,eem_interpretable,sklearn_svr,"kernel=rbf,C=10,epsilon=0.05,max_features=192",0,0.3778820919913669,0.23245842787031692,-0.0341419757104926,-1.6927714102872153
rhamnose_gL,all_known,eem_interpretable,sklearn_svr,"kernel=linear,C=1,epsilon=0.05,max_features=192",0,0.40205866780182103,0.21007407992225208,-0.17070211539784008,-8.1989886920317
rhamnose_gL,all_known,eem_interpretable,xgboost,"n_estimators=200,max_depth=2,learning_rate=0.05,max_features=192",0,0.41290815659402486,0.2629528093102665,-0.23473701749509934,-11.118721082232565
rhamnose_gL,all_known,eem_interpretable,sklearn_plsr,"n_components=2,max_features=192",1,0.36631896255910323,0.28493662302138933,-0.04236893874089409,-2.0964709841086653
rhamnose_gL,all_known,eem_interpretable,sklearn_plsr,"n_components=5,max_features=192",1,0.3839818180624212,0.30364982174409155,-0.14531244937316812,-7.019271599706212
rhamnose_gL,all_known,eem_interpretable,sklearn_svr,"kernel=rbf,C=10,epsilon=0.05,max_features=192",1,0.41433540910493794,0.2623497481780703,-0.33354218836994165,-15.479097172169734
rhamnose_gL,all_known,eem_interpretable,sklearn_svr,"kernel=linear,C=1,epsilon=0.05,max_features=192",1,0.38657404831182046,0.20338738318544497,-0.16082847062243366,-7.741750061080481
rhamnose_gL,all_known,eem_interpretable,xgboost,"n_estimators=200,max_depth=2,learning_rate=0.05,max_features=192",1,0.3697391639672588,0.25603922164923437,-0.061924327483399155,-3.0497126382892725
rhamnose_gL,all_known,eem_interpretable,sklearn_plsr,"n_components=2,max_features=192",2,0.49726244806468406,0.3259296105154467,0.0348231975778186,1.7565878838595337
rhamnose_gL,all_known,eem_interpretable,sklearn_plsr,"n_components=5,max_features=192",2,0.4969993514256403,0.3216036768424648,0.03584425837418903,1.8085675007329705
rhamnose_gL,all_known,eem_interpretable,sklearn_svr,"kernel=rbf,C=10,epsilon=0.05,max_features=192",2,0.4612877512101177,0.2600102311561221,0.16942397016482158,8.864055947437588
rhamnose_gL,all_known,eem_interpretable,sklearn_svr,"kernel=linear,C=1,epsilon=0.05,max_features=192",2,0.5345923184916781,0.23258297114276827,-0.11552928555680375,-5.618619833663993
rhamnose_gL,all_known,eem_interpretable,xgboost,"n_estimators=200,max_depth=2,learning_rate=0.05,max_features=192",2,0.5343054007507445,0.3384851989774285,-0.11433218922228394,-5.561933916648389
rhamnose_gL,all_known,eem_interpretable,sklearn_plsr,"n_components=2,max_features=192",3,0.5050152373031733,0.33582249681315796,0.023039368319660247,1.1586811257387437
rhamnose_gL,all_known,eem_interpretable,sklearn_plsr,"n_components=5,max_features=192",3,0.5443953588022986,0.35375490799470144,-0.13526416067757552,-6.5487757169257845
rhamnose_gL,all_known,eem_interpretable,sklearn_svr,"kernel=rbf,C=10,epsilon=0.05,max_features=192",3,0.557813983455939,0.3009653739445751,-0.19191941487695074,-9.175061936183512
rhamnose_gL,all_known,eem_interpretable,sklearn_svr,"kernel=linear,C=1,epsilon=0.05,max_features=192",3,0.5541661598995427,0.2681894642469997,-0.17638127755176525,-8.461111812103663
rhamnose_gL,all_known,eem_interpretable,xgboost,"n_estimators=200,max_depth=2,learning_rate=0.05,max_features=192",3,0.47706107243135853,0.30394807255751377,0.12820161526617313,6.629855696061666
rhamnose_gL,all_known,eem_interpretable,sklearn_plsr,"n_components=2,max_features=192",4,0.362511397601308,0.2787940144024429,-0.0911477007395678,-4.458015524878121
rhamnose_gL,all_known,eem_interpretable,sklearn_plsr,"n_components=5,max_features=192",4,0.39505603199040146,0.3035791778334111,-0.29585856987782155,-13.83578391164274
rhamnose_gL,all_known,eem_interpretable,sklearn_svr,"kernel=rbf,C=10,epsilon=0.05,max_features=192",4,0.41152511054733476,0.2744273530354861,-0.40615401454196887,-18.581365084990015
rhamnose_gL,all_known,eem_interpretable,sklearn_svr,"kernel=linear,C=1,epsilon=0.05,max_features=192",4,0.3716181510344267,0.19456942309010597,-0.14665837384213742,-7.082135477498655
rhamnose_gL,all_known,eem_interpretable,xgboost,"n_estimators=200,max_depth=2,learning_rate=0.05,max_features=192",4,0.399966758576975,0.27139725615245264,-0.32827502669387076,-15.250814604230486
xylose_gL,all_known,eem_interpretable,sklearn_plsr,"n_components=2,max_features=192",0,0.43335691436025814,0.3464180910017648,-1.288572633057,-51.28029062164708
xylose_gL,all_known,eem_interpretable,sklearn_plsr,"n_components=5,max_features=192",0,0.48487058512194864,0.36901645921413545,-1.8650019128842281,-69.26316530433395
xylose_gL,all_known,eem_interpretable,sklearn_svr,"kernel=rbf,C=10,epsilon=0.05,max_features=192",0,0.33285811462427467,0.23515245745161387,-0.3501795866120665,-16.19722830653348
xylose_gL,all_known,eem_interpretable,sklearn_svr,"kernel=linear,C=1,epsilon=0.05,max_features=192",0,0.2667561436663863,0.13634018083809668,0.1328342814625585,6.878266847236923
xylose_gL,all_known,eem_interpretable,xgboost,"n_estimators=200,max_depth=2,learning_rate=0.05,max_features=192",0,1.0111646343604763,0.4013245283225551,-11.459969611570763,-252.98682144763933
xylose_gL,all_known,eem_interpretable,sklearn_plsr,"n_components=2,max_features=192",1,0.841044740538135,0.43367664243469395,0.06286197631867463,3.194110526201707
xylose_gL,all_known,eem_interpretable,sklearn_plsr,"n_components=5,max_features=192",1,0.854423874530754,0.44299650487029374,0.03280930241242719,1.6541461175117533
xylose_gL,all_known,eem_interpretable,sklearn_svr,"kernel=rbf,C=10,epsilon=0.05,max_features=192",1,0.8714103075928729,0.4366501972280013,-0.0060295705811148625,-0.30102544745565607
xylose_gL,all_known,eem_interpretable,sklearn_svr,"kernel=linear,C=1,epsilon=0.05,max_features=192",1,0.8943085322741677,0.32441791607594717,-0.05959550978962236,-2.93665575438238
xylose_gL,all_known,eem_interpretable,xgboost,"n_estimators=200,max_depth=2,learning_rate=0.05,max_features=192",1,0.9813805101951865,0.4985165526382625,-0.2759692797915325,-12.95881018280657
xylose_gL,all_known,eem_interpretable,sklearn_plsr,"n_components=2,max_features=192",2,0.41665547416340226,0.3344214439240632,-0.323123821702739,-15.027119485047487
xylose_gL,all_known,eem_interpretable,sklearn_plsr,"n_components=5,max_features=192",2,0.33000847708759096,0.2715080496889462,0.16996482668726232,8.89373384268579
xylose_gL,all_known,eem_interpretable,sklearn_svr,"kernel=rbf,C=10,epsilon=0.05,max_features=192",2,0.3325355245792269,0.22188326678389955,0.15720412856743105,8.196085517415494
xylose_gL,all_known,eem_interpretable,sklearn_svr,"kernel=linear,C=1,epsilon=0.05,max_features=192",2,0.3640838851407118,0.19677899131590015,-0.010297360022827107,-0.5135493365360724
xylose_gL,all_known,eem_interpretable,xgboost,"n_estimators=200,max_depth=2,learning_rate=0.05,max_features=192",2,0.7057551279090789,0.3590552788004279,-2.796246365028736,-94.83958440288093
xylose_gL,all_known,eem_interpretable,sklearn_plsr,"n_components=2,max_features=192",3,0.8471475278765991,0.4142559391200593,0.06449562173742085,3.278524708181825
xylose_gL,all_known,eem_interpretable,sklearn_plsr,"n_components=5,max_features=192",3,0.8228327805690939,0.3927722780576349,0.11742646822375102,6.054615239691038
xylose_gL,all_known,eem_interpretable,sklearn_svr,"kernel=rbf,C=10,epsilon=0.05,max_features=192",3,0.798406748965312,0.3035760062496199,0.16904763632647812,8.843411446373114
xylose_gL,all_known,eem_interpretable,sklearn_svr,"kernel=linear,C=1,epsilon=0.05,max_features=192",3,0.8968058970607392,0.3199934599844139,-0.04839427190136947,-2.39112617318796
xylose_gL,all_known,eem_interpretable,xgboost,"n_estimators=200,max_depth=2,learning_rate=0.05,max_features=192",3,0.8927134302982164,0.41373484912514685,-0.03884765966215853,-1.9238764795648213
xylose_gL,all_known,eem_interpretable,sklearn_plsr,"n_components=2,max_features=192",4,0.9172899998823124,0.42301369805111594,0.04338029520209363,2.19306237296321
xylose_gL,all_known,eem_interpretable,sklearn_plsr,"n_components=5,max_features=192",4,0.8989430730264387,0.43988930370781015,0.08126473885046182,4.149321277857487
xylose_gL,all_known,eem_interpretable,sklearn_svr,"kernel=rbf,C=10,epsilon=0.05,max_features=192",4,1.0146009004660197,0.4716456281528586,-0.17035197228317056,-8.182806965024284
xylose_gL,all_known,eem_interpretable,sklearn_svr,"kernel=linear,C=1,epsilon=0.05,max_features=192",4,0.954228395821025,0.3228359626269967,-0.035215287282651886,-1.7455299894128957
xylose_gL,all_known,eem_interpretable,xgboost,"n_estimators=200,max_depth=2,learning_rate=0.05,max_features=192",4,0.9597266611489761,0.4150305273790977,-0.04717948092893964,-2.331787873023099
glucose_gL,all_known,eem_interpretable,sklearn_plsr,"n_components=2,max_features=192",0,0.43957917050885187,0.34663677281835364,-0.8963506296993888,-37.70804732111297
glucose_gL,all_known,eem_interpretable,sklearn_plsr,"n_components=5,max_features=192",0,0.44063856251052647,0.37678889824129136,-0.9055021075577958,-38.039925657680506
glucose_gL,all_known,eem_interpretable,sklearn_svr,"kernel=rbf,C=10,epsilon=0.05,max_features=192",0,0.40065894897199705,0.25848455833107425,-0.5754119113025855,-25.515413846371306
glucose_gL,all_known,eem_interpretable,sklearn_svr,"kernel=linear,C=1,epsilon=0.05,max_features=192",0,0.33751334939374444,0.17458971063046497,-0.11796019174685868,-5.733636641650554
glucose_gL,all_known,eem_interpretable,xgboost,"n_estimators=200,max_depth=2,learning_rate=0.05,max_features=192",0,0.5494817960464004,0.32840089959012614,-1.9631323377166066,-72.13751298646693
glucose_gL,all_known,eem_interpretable,sklearn_plsr,"n_components=2,max_features=192",1,0.4614352559359167,0.3848312189197407,-0.5348239665642887,-23.88801259864847
glucose_gL,all_known,eem_interpretable,sklearn_plsr,"n_components=5,max_features=192",1,0.5140833020827135,0.4310917316934315,-0.9050396552300322,-38.02317396836057
glucose_gL,all_known,eem_interpretable,sklearn_svr,"kernel=rbf,C=10,epsilon=0.05,max_features=192",1,0.4479040061010193,0.3129136442130724,-0.446128610750967,-20.25508765748611
glucose_gL,all_known,eem_interpretable,sklearn_svr,"kernel=linear,C=1,epsilon=0.05,max_features=192",1,0.40683552182960486,0.2291035631639981,-0.1930942571210561,-9.228854114700667
glucose_gL,all_known,eem_interpretable,xgboost,"n_estimators=200,max_depth=2,learning_rate=0.05,max_features=192",1,0.5701561819141042,0.4143755927809647,-1.343282773287458,-53.077848602841875
glucose_gL,all_known,eem_interpretable,sklearn_plsr,"n_components=2,max_features=192",2,1.2666709893725998,0.637175028549425,-0.020655810612045133,-1.0275116298548055
glucose_gL,all_known,eem_interpretable,sklearn_plsr,"n_components=5,max_features=192",2,1.2467774942608656,0.6274213485468783,0.011151924362061139,0.5591595149186814
glucose_gL,all_known,eem_interpretable,sklearn_svr,"kernel=rbf,C=10,epsilon=0.05,max_features=192",2,1.3473046554075219,0.6403757171798534,-0.15473754120400396,-7.458714918986622
glucose_gL,all_known,eem_interpretable,sklearn_svr,"kernel=linear,C=1,epsilon=0.05,max_features=192",2,1.3549301399698324,0.5763909391705049,-0.16784571504697277,-8.066910525237684
glucose_gL,all_known,eem_interpretable,xgboost,"n_estimators=200,max_depth=2,learning_rate=0.05,max_features=192",2,1.291766320479555,0.66377113885193,-0.06149897424019746,-3.029072316516431
glucose_gL,all_known,eem_interpretable,sklearn_plsr,"n_components=2,max_features=192",3,0.6242164565570035,0.46605921665890315,0.024377001769545714,1.2263700054283568
glucose_gL,all_known,eem_interpretable,sklearn_plsr,"n_components=5,max_features=192",3,0.6498658558224688,0.5013411093739316,-0.05744804945180193,-2.8322930529025108
glucose_gL,all_known,eem_interpretable,sklearn_svr,"kernel=rbf,C=10,epsilon=0.05,max_features=192",3,0.6920068642550743,0.3997720991229078,-0.19903650654429095,-9.500525411720794
glucose_gL,all_known,eem_interpretable,sklearn_svr,"kernel=linear,C=1,epsilon=0.05,max_features=192",3,0.6804863313024738,0.31056967266296365,-0.15944569794865204,-7.677560241150169
glucose_gL,all_known,eem_interpretable,xgboost,"n_estimators=200,max_depth=2,learning_rate=0.05,max_features=192",3,1.0435034285807787,0.5414962428578042,-1.7264614530152143,-65.12000039411382
glucose_gL,all_known,eem_interpretable,sklearn_plsr,"n_components=2,max_features=192",4,0.6185424447389976,0.5047117723993999,-0.4677394965270809,-21.150299072147597
glucose_gL,all_known,eem_interpretable,sklearn_plsr,"n_components=5,max_features=192",4,0.6476403242573384,0.5237627041512104,-0.6090803496964936,-26.84953092922707
glucose_gL,all_known,eem_interpretable,sklearn_svr,"kernel=rbf,C=10,epsilon=0.05,max_features=192",4,0.5504931836744845,0.3152502387882845,-0.16255594061845646,-7.82188741709432
glucose_gL,all_known,eem_interpretable,sklearn_svr,"kernel=linear,C=1,epsilon=0.05,max_features=192",4,0.5442707445412784,0.24873736486164405,-0.13642283014001366,-6.603134575865697
glucose_gL,all_known,eem_interpretable,xgboost,"n_estimators=200,max_depth=2,learning_rate=0.05,max_features=192",4,0.8100681680730677,0.4739190586075586,-1.5174050646168062,-58.66332483018266
rhamnose_gL,all_known,fusion_interpretable,sklearn_plsr,"n_components=2,max_features=192",0,0.6708571139181508,0.40746698073368526,-2.297815040756463,-81.59887226402213
rhamnose_gL,all_known,fusion_interpretable,sklearn_plsr,"n_components=5,max_features=192",0,1.7475875202409616,0.6763300864649288,-21.379176671514603,-373.0663449402694
rhamnose_gL,all_known,fusion_interpretable,sklearn_svr,"kernel=rbf,C=10,epsilon=0.05,max_features=192",0,0.4232396196894682,0.3199984027829627,-0.3126195441872923,-14.569609591169174
rhamnose_gL,all_known,fusion_interpretable,sklearn_svr,"kernel=linear,C=1,epsilon=0.05,max_features=192",0,0.873370834213501,0.3977455703298652,-4.589379593235919,-136.4186877815694
rhamnose_gL,all_known,fusion_interpretable,xgboost,"n_estimators=200,max_depth=2,learning_rate=0.05,max_features=192",0,0.44602087756284337,0.30314492410146876,-0.45772838723246645,-20.736423138689446
rhamnose_gL,all_known,fusion_interpretable,sklearn_plsr,"n_components=2,max_features=192",1,0.40642033559682594,0.3280655359060966,-0.09128648687521745,-4.464658467599354
rhamnose_gL,all_known,fusion_interpretable,sklearn_plsr,"n_components=5,max_features=192",1,0.3954632033335324,0.32172340002376665,-0.033237302819398185,-1.648280989862208
rhamnose_gL,all_known,fusion_interpretable,sklearn_svr,"kernel=rbf,C=10,epsilon=0.05,max_features=192",1,0.3487441098288311,0.23311658367825014,0.1964707699731021,10.360208053181086
rhamnose_gL,all_known,fusion_interpretable,sklearn_svr,"kernel=linear,C=1,epsilon=0.05,max_features=192",1,0.42331850827656253,0.24200221935888147,-0.18392020218793514,-8.808097225709043
rhamnose_gL,all_known,fusion_interpretable,xgboost,"n_estimators=200,max_depth=2,learning_rate=0.05,max_features=192",1,0.3852289760567114,0.24369985730387267,0.019549189434706626,0.982283879838284
rhamnose_gL,all_known,fusion_interpretable,sklearn_plsr,"n_components=2,max_features=192",2,0.47258760156785573,0.30308577529424896,0.10981306116259437,5.650281461076636
