target,cohort,feature_set,model,config,n_repeats,mean_rmse,std_rmse,mean_mae,mean_r2,mean_improvement_vs_test_mean_pct
glucose_gL,all_known,fusion_full,sklearn_svr,"kernel=rbf,C=10,epsilon=0.05,max_features=192",5,0.62557276,0.33095918,0.35540873,-0.13384742,-5.7594492
glucose_gL,all_known,eem_full,xgboost,"n_estimators=200,max_depth=2,learning_rate=0.05,max_features=192",5,0.64593467,0.28297636,0.39144464,-0.20205522,-9.1282596
glucose_gL,all_known,fusion_interpretable,sklearn_svr,"kernel=rbf,C=10,epsilon=0.05,max_features=192",5,0.64864105,0.3724484,0.35948624,-0.11318082,-5.250904
glucose_gL,all_known,eem_full,sklearn_svr,"kernel=rbf,C=10,epsilon=0.05,max_features=192",5,0.66109388,0.27597063,0.43442537,-0.37251966,-15.1629
glucose_gL,all_known,eem_interpretable,sklearn_svr,"kernel=linear,C=1,epsilon=0.05,max_features=192",5,0.66480722,0.36461355,0.30787825,-0.15495374,-7.4620192
glucose_gL,all_known,fusion_interpretable,sklearn_svr,"kernel=linear,C=1,epsilon=0.05,max_features=192",5,0.6727283,0.35301527,0.29848395,-0.29622079,-13.419042
glucose_gL,all_known,eem_interpretable,sklearn_plsr,"n_components=2,max_features=192",5,0.68208886,0.30219947,0.4678828,-0.37903858,-16.5095
glucose_gL,all_known,fusion_interpretable,xgboost,"n_estimators=200,max_depth=2,learning_rate=0.05,max_features=192",5,0.68456555,0.22382444,0.40591077,-0.7204069,-25.924145
glucose_gL,all_known,fusion_interpretable,sklearn_plsr,"n_components=2,max_features=192",5,0.68679497,0.29336842,0.46789967,-0.50339154,-20.942169
glucose_gL,all_known,eem_interpretable,sklearn_svr,"kernel=rbf,C=10,epsilon=0.05,max_features=192",5,0.68767353,0.34462073,0.38535925,-0.3075741,-14.110326
glucose_gL,all_known,eem_interpretable,sklearn_plsr,"n_components=5,max_features=192",5,0.69980111,0.28497501,0.49208116,-0.49318365,-21.037153
glucose_gL,all_known,fusion_full,sklearn_plsr,"n_components=2,max_features=192",5,0.70073125,0.27511812,0.48144723,-0.66267953,-26.145866
glucose_gL,all_known,eem_full,sklearn_plsr,"n_components=2,max_features=192",5,0.71241018,0.26675702,0.50632562,-0.68198988,-26.604848
glucose_gL,all_known,fusion_full,sklearn_plsr,"n_components=5,max_features=192",5,0.72699721,0.26589378,0.49244702,-0.83115707,-32.117862
glucose_gL,all_known,fusion_full,xgboost,"n_estimators=200,max_depth=2,learning_rate=0.05,max_features=192",5,0.74388416,0.29539313,0.43612379,-0.81040804,-32.036685
glucose_gL,all_known,eem_full,sklearn_plsr,"n_components=5,max_features=192",5,0.7967904,0.22471602,0.58450988,-1.3418918,-47.287944
glucose_gL,all_known,fusion_full,sklearn_svr,"kernel=linear,C=1,epsilon=0.05,max_features=192",5,0.82043853,0.28176006,0.56686484,-1.2713945,-48.316918
glucose_gL,all_known,fusion_interpretable,sklearn_plsr,"n_components=5,max_features=192",5,0.82703266,0.23460969,0.5169608,-2.0176213,-61.356302
glucose_gL,all_known,eem_interpretable,xgboost,"n_estimators=200,max_depth=2,learning_rate=0.05,max_features=192",5,0.85299518,0.28382195,0.48439259,-1.3223561,-50.405552
glucose_gL,all_known,eem_full,sklearn_svr,"kernel=linear,C=1,epsilon=0.05,max_features=192",5,1.3384101,0.18700344,1.0078113,-6.3820672,-158.37902
rhamnose_gL,all_known,fusion_full,sklearn_plsr,"n_components=5,max_features=192",5,0.35982884,0.076663921,0.25866449,0.063225775,5.0389521
rhamnose_gL,all_known,fusion_full,xgboost,"n_estimators=200,max_depth=2,learning_rate=0.05,max_features=192",5,0.36279545,0.075377707,0.24305493,0.082227464,5.1663634
