sample_set,batch,replicate,sample_id,container_type,eem_present,raman_present,hplc_present,matching_measurements,eem_file,raman_file,hplc_status,plate_metadata_present,eem_plate_metadata_present,raman_plate_metadata_present,metadata_experiment,metadata_plate,metadata_well,metadata_media,legend_treatment_label,metadata_strain,metadata_date,metadata_comment,metadata_culture_duration_hours,metadata_od750,metadata_support,metadata_data_type,hplc_sample_code,hplc_sample_legend_present,hplc_sample_date,hplc_total_volume_centrifuged_ml_per_falcon,hplc_number_of_falcons,hplc_legend_note_1,hplc_legend_note_2,hplc_quantitative_reference_present,hplc_quantitative_reference_status,group_code,eem_available,raman_available,raman_crop_mean,raman_crop_max,raman_crop_sum,r735_mean,r735_max,r735_sum,r905_mean,r905_max,r905_sum,r1156_mean,r1156_max,r1156_sum,r1408_mean,r1408_max,r1408_sum,r1523_mean,r1523_max,r1523_sum,r1878_mean,r1878_max,r1878_sum,raman_ratio_1523_1156,raman_ratio_905_735,eem_raw_mean,eem_raw_max,eem_clean_mean,eem_clean_max,eem_over_fraction_total,eem_clean_valid_fraction,eem_h1_ex380_em400,eem_h2_ex380_em420,eem_h3_ex400_em420,eem_h4_ex400_em440,eem_h5_ex420_em460,eem_h6_ex440_em480,target_source,rhamnose_gL,xylose_gL,glucose_gL
MSStandards,4,1,A10,Plate,True,True,False,Raman only,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\EEM\EEM_EG_Pavlovagyrans_raw_004_001_A10.csv,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\Raman\Raman_EG_MSStandards_raw_004_001_A10.CSV,reference workbook missing from local extraction,True,False,True,4,1,A10,2026-03-11T00:00:00Z,Rha-Glu (0.01),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,True,True,19.489013,95.202740,30324.904958,35.555598,41.012310,2560.003070,52.099250,61.171910,3751.145990,9.494405,17.743040,693.091573,1.654179,4.154121,129.025939,3.014505,10.709940,217.044385,-0.033382,3.672737,-2.603775,0.317503,1.465290,35986.672727,7766173.000000,693.143678,26084.000000,0.126984,0.690476,,2576.000000,,453.000000,214.000000,164.000000,known_standard_or_spike,0.01,0,0.01
MSStandards,4,1,A11,Plate,True,True,False,Raman only,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\EEM\EEM_EG_Pavlovagyrans_raw_004_001_A11.csv,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\Raman\Raman_EG_MSStandards_raw_004_001_A11.CSV,reference workbook missing from local extraction,True,False,True,4,1,A11,2026-03-11T00:00:00Z,Rha-Xyl (0.1),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,True,True,20.478683,101.183400,31864.830512,39.177819,46.970150,2820.802960,53.339068,61.847290,3840.412880,9.300591,17.853590,678.943113,1.328658,4.303391,103.635308,3.873763,12.541980,278.910933,0.098641,2.898529,7.694027,0.416507,1.361461,31453.504545,6790938.000000,578.959770,17506.000000,0.126984,0.690476,,2317.000000,,410.000000,203.000000,160.000000,known_standard_or_spike,0.1,0.1,0
MSStandards,4,1,A2,Plate,True,True,False,Raman only,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\EEM\EEM_EG_Pavlovagyrans_raw_004_001_A2.csv,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\Raman\Raman_EG_MSStandards_raw_004_001_A2.CSV,reference workbook missing from local extraction,True,False,True,4,1,A2,2026-03-11T00:00:00Z,Rha (1),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,True,True,19.618310,96.696480,30526.090624,36.245042,42.245420,2609.643010,52.489333,60.540570,3779.232010,9.525904,17.863980,695.391012,2.457837,7.823799,191.711272,3.733835,10.339980,268.836131,-0.352793,2.732430,-27.517889,0.391966,1.448180,46854.733032,6403029.000000,781.511494,32127.000000,0.123016,0.690476,,2965.000000,,491.000000,201.000000,178.000000,known_standard_or_spike,1,0,0
MSStandards,4,1,A3,Plate,True,True,False,Raman only,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\EEM\EEM_EG_Pavlovagyrans_raw_004_001_A3.csv,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\Raman\Raman_EG_MSStandards_raw_004_001_A3.CSV,reference workbook missing from local extraction,True,False,True,4,1,A3,2026-03-11T00:00:00Z,Rha (0.25),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,True,True,5.247474,37.632630,8165.069863,0.746595,7.931458,53.754852,29.065138,37.632630,2092.689940,-1.351732,5.553375,-98.676421,-0.592188,6.102875,-46.190672,3.721945,10.862790,267.980008,-0.340240,4.852875,-26.538727,-2.753464,38.930252,46831.352941,6322141.000000,690.034483,24047.000000,0.123016,0.690476,,2703.000000,,450.000000,213.000000,172.000000,known_standard_or_spike,0.25,0,0
MSStandards,4,1,A4,Plate,True,True,False,Raman only,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\EEM\EEM_EG_Pavlovagyrans_raw_004_001_A4.csv,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\Raman\Raman_EG_MSStandards_raw_004_001_A4.CSV,reference workbook missing from local extraction,True,False,True,4,1,A4,2026-03-11T00:00:00Z,Rha (0.05),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,True,True,20.612060,96.523090,32072.364659,38.530868,43.098270,2774.222480,53.519000,59.970460,3853.367970,9.486119,17.473920,692.486722,2.264823,6.418381,176.656194,4.177832,12.389420,300.803931,-0.397711,2.462852,-31.021433,0.440415,1.388990,25899.931818,5550106.000000,709.695402,26961.000000,0.126984,0.690476,,2801.000000,,449.000000,202.000000,166.000000,known_standard_or_spike,0.05,0,0
MSStandards,4,1,A5,Plate,True,True,False,Raman only,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\EEM\EEM_EG_Pavlovagyrans_raw_004_001_A5.csv,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\Raman\Raman_EG_MSStandards_raw_004_001_A5.CSV,reference workbook missing from local extraction,True,False,True,4,1,A5,2026-03-11T00:00:00Z,Rha (0.01),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,True,True,20.322547,98.342290,31621.883535,38.187723,42.466650,2749.516070,52.231201,62.885990,3760.646440,9.181549,16.333320,670.253077,2.007421,5.221298,156.578803,3.600707,9.249603,259.250908,-0.323227,3.418480,-25.211701,0.392168,1.367748,40371.212670,5549440.000000,673.316092,23717.000000,0.123016,0.690476,,2616.000000,,432.000000,193.000000,171.000000,known_standard_or_spike,0.01,0,0
MSStandards,4,1,A6,Plate,True,True,False,Raman only,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\EEM\EEM_EG_Pavlovagyrans_raw_004_001_A6.csv,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\Raman\Raman_EG_MSStandards_raw_004_001_A6.CSV,reference workbook missing from local extraction,True,False,True,4,1,A6,2026-03-11T00:00:00Z,Glu (1),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,True,True,53.519782,98.353940,83276.781035,29.536972,43.761840,2126.661990,85.158176,98.353940,6131.388640,74.184147,84.992070,5415.442700,80.055077,89.152830,6244.296000,75.838301,86.599370,5460.357680,20.157357,29.144710,1572.273883,1.022298,2.883104,25590.222727,5486342.000000,701.126437,26480.000000,0.126984,0.690476,,2768.000000,,435.000000,209.000000,166.000000,known_standard_or_spike,0,0,1
MSStandards,4,1,A7,Plate,True,True,False,Raman only,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\EEM\EEM_EG_Pavlovagyrans_raw_004_001_A7.csv,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\Raman\Raman_EG_MSStandards_raw_004_001_A7.CSV,reference workbook missing from local extraction,True,False,True,4,1,A7,2026-03-11T00:00:00Z,Glu (0.25),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,True,True,21.742568,101.100600,33831.436431,39.945762,45.523850,2876.094860,55.460105,62.942500,3993.127550,10.896938,19.863960,795.476453,2.527464,5.940636,197.142219,4.982678,10.871800,358.752828,0.208662,2.602158,16.275605,0.457255,1.388385,28236.559091,6073857.000000,654.706897,22402.000000,0.126984,0.690476,,2677.000000,,376.000000,190.000000,176.000000,known_standard_or_spike,0,0,0.25
MSStandards,4,1,A8,Plate,True,True,False,Raman only,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\EEM\EEM_EG_Pavlovagyrans_raw_004_001_A8.csv,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\Raman\Raman_EG_MSStandards_raw_004_001_A8.CSV,reference workbook missing from local extraction,True,False,True,4,1,A8,2026-03-11T00:00:00Z,Glu (0.075),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,True,True,20.612339,103.769700,32072.799448,40.050751,45.968690,2883.654060,54.071045,62.163650,3893.115210,9.233813,16.599270,674.068349,1.581690,5.489204,123.371813,3.000154,9.788544,216.011116,-0.542464,2.164810,-42.312215,0.324910,1.350063,49058.638009,6530598.000000,635.844828,21567.000000,0.123016,0.690476,,2627.000000,,422.000000,203.000000,168.000000,known_standard_or_spike,0,0,0.075
MSStandards,4,1,A9,Plate,True,True,False,Raman only,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\EEM\EEM_EG_Pavlovagyrans_raw_004_001_A9.csv,C:\Users\nhadu\OneDrive - UTS\C3_UTS\Soft_Sensor_Loc\Emilie data\Raw_data\Emilie_SoftSensor\Emilie_SoftSensor\Raw_data_Plate\Raman\Raman_EG_MSStandards_raw_004_001_A9.CSV,reference workbook missing from local extraction,True,False,True,4,1,A9,2026-03-11T00:00:00Z,Glu (0.01),MSStandards,NA,Raman trial,NA,unk,NA,raw,,False,,,,,,False,No quantitative HPLC reference table found in current folder,EG,True,True,19.949015,94.412110,31040.666834,35.348486,39.223040,2545.090970,51.206460,59.310100,3686.865150,10.556453,18.684680,770.621101,3.191833,6.859795,248.963005,5.363826,12.967860,386.195463,-0.555030,2.585838,-43.292322,0.508109,1.448618,31614.704545,6824076.000000,589.574713,18436.000000,0.126984,0.690476,,2084.000000,,408.000000,189.000000,161.000000,known_standard_or_spike,0,0,0.01
