sample_set,batch,replicate,sample_id,matching_measurements,legend_treatment_label,pc1,pc2,cluster
Pavlovagyrans,1,1,B10,EEM only,B2,-1.174643,-1.607313,0
Pavlovagyrans,1,1,B11,EEM only,B4,-1.242005,-1.635092,0
Pavlovagyrans,1,1,B2,EEM only,N0,-1.022286,-1.695780,0
Pavlovagyrans,1,1,B3,EEM only,N2,-1.101999,-1.686196,0
Pavlovagyrans,1,1,B4,EEM only,N4,-1.166196,-1.660291,0
Pavlovagyrans,1,1,B5,EEM only,N6,-1.049566,-1.701504,0
Pavlovagyrans,1,1,B6,EEM only,S1,-1.185259,-1.680711,0
Pavlovagyrans,1,1,B7,EEM only,S3,-1.200476,-1.613201,0
Pavlovagyrans,1,1,B8,EEM only,S5,-1.237245,-1.619402,0
Pavlovagyrans,1,1,B9,EEM only,S7,-1.124257,-1.619891,0
Pavlovagyrans,1,1,C10,EEM only,B2,-1.093211,-1.565085,0
Pavlovagyrans,1,1,C11,EEM only,B4,-1.271420,-1.598322,0
Pavlovagyrans,1,1,C2,EEM only,N0,-0.983446,-1.533403,0
Pavlovagyrans,1,1,C3,EEM only,N2,-1.117207,-1.572429,0
Pavlovagyrans,1,1,C4,EEM only,N4,-1.032963,-1.560242,0
Pavlovagyrans,1,1,C5,EEM only,N6,-1.281324,-1.609170,0
Pavlovagyrans,1,1,C6,EEM only,S1,-0.939182,-1.581465,0
Pavlovagyrans,1,1,C7,EEM only,S3,-1.055969,-1.581700,0
Pavlovagyrans,1,1,C8,EEM only,S5,-1.313674,-1.606962,0
Pavlovagyrans,1,1,C9,EEM only,S7,-1.228220,-1.579929,0
Pavlovagyrans,1,1,D10,EEM only,B2,-1.035647,-1.551804,0
Pavlovagyrans,1,1,D11,EEM only,B4,-1.103149,-1.535602,0
Pavlovagyrans,1,1,D2,EEM only,N0,-1.015854,-1.528291,0
Pavlovagyrans,1,1,D3,EEM only,N2,-0.974201,-1.565393,0
Pavlovagyrans,1,1,D4,EEM only,N4,-0.992080,-1.571708,0
Pavlovagyrans,1,1,D5,EEM only,N6,-1.022952,-1.579998,0
Pavlovagyrans,1,1,D6,EEM only,S1,-1.090445,-1.603923,0
Pavlovagyrans,1,1,D7,EEM only,S3,-1.044786,-1.570681,0
Pavlovagyrans,1,1,D8,EEM only,S5,-0.977794,-1.590768,0
Pavlovagyrans,1,1,D9,EEM only,S7,-1.125228,-1.555946,0
Pavlovagyrans,1,1,E10,EEM only,B3,-1.029409,-1.543406,0
Pavlovagyrans,1,1,E11,EEM only,STD,-1.020926,-1.547256,0
Pavlovagyrans,1,1,E2,EEM only,N1,-0.939798,-1.559105,0
Pavlovagyrans,1,1,E3,EEM only,N3,-0.953870,-1.559419,0
Pavlovagyrans,1,1,E4,EEM only,N5,-0.978026,-1.557742,0
Pavlovagyrans,1,1,E5,EEM only,N7,-0.857490,-1.553635,0
Pavlovagyrans,1,1,E6,EEM only,S2,-0.978023,-1.599396,0
Pavlovagyrans,1,1,E7,EEM only,S4,-0.938372,-1.562059,0
Pavlovagyrans,1,1,E8,EEM only,S6,-0.913988,-1.573906,0
Pavlovagyrans,1,1,E9,EEM only,B1,-0.916547,-1.536461,0
Pavlovagyrans,1,1,F10,EEM only,B3,-0.977628,-1.531572,0
Pavlovagyrans,1,1,F11,EEM only,STD,-0.882001,-1.526215,0
Pavlovagyrans,1,1,F2,EEM only,N1,-0.936248,-1.535434,0
Pavlovagyrans,1,1,F3,EEM only,N3,-0.891191,-1.555656,0
Pavlovagyrans,1,1,F4,EEM only,N5,-0.899768,-1.571120,0
Pavlovagyrans,1,1,F5,EEM only,N7,-1.026404,-1.565776,0
Pavlovagyrans,1,1,F6,EEM only,S2,-0.897749,-1.568841,0
Pavlovagyrans,1,1,F7,EEM only,S4,-0.956317,-1.561351,0
Pavlovagyrans,1,1,F8,EEM only,S6,-1.030782,-1.511374,0
Pavlovagyrans,1,1,F9,EEM only,B1,-0.940151,-1.554882,0
Pavlovagyrans,1,1,G10,EEM only,B3,-0.881386,-1.542935,0
Pavlovagyrans,1,1,G11,EEM only,STD,-1.025473,-1.518265,0
Pavlovagyrans,1,1,G2,EEM only,N1,-0.867046,-1.533850,0
Pavlovagyrans,1,1,G3,EEM only,N3,-0.964737,-1.544603,0
Pavlovagyrans,1,1,G4,EEM only,N5,-0.919761,-1.550223,0
Pavlovagyrans,1,1,G5,EEM only,N7,-0.914471,-1.542784,0
Pavlovagyrans,1,1,G6,EEM only,S2,-0.950263,-1.559823,0
Pavlovagyrans,1,1,G7,EEM only,S4,-0.976991,-1.550943,0
Pavlovagyrans,1,1,G8,EEM only,S6,-0.944166,-1.552039,0
