sample_set,batch,replicate,sample_id,matching_measurements,legend_treatment_label,pc1,pc2,cluster
Pavlovagyrans,1,7,B10,EEM+Raman,B2,-3.558925,-2.235413,2
Pavlovagyrans,1,7,B11,EEM+Raman,B4,-4.593231,-1.114706,2
Pavlovagyrans,1,7,B2,EEM+Raman,N0,-1.841948,-1.887070,2
Pavlovagyrans,1,7,B3,EEM+Raman,N2,-10.706580,0.980280,2
Pavlovagyrans,1,7,B4,EEM+Raman,N4,-6.836826,-0.158014,2
Pavlovagyrans,1,7,B5,EEM+Raman,N6,-11.767614,1.634485,2
Pavlovagyrans,1,7,B6,EEM+Raman,S1,-2.861604,-2.650869,2
Pavlovagyrans,1,7,B7,EEM+Raman,S3,-2.930672,-2.752724,2
Pavlovagyrans,1,7,B8,EEM+Raman,S5,-2.617561,-2.673454,2
Pavlovagyrans,1,7,B9,EEM+Raman,S7,-1.962018,-2.974404,2
Pavlovagyrans,1,7,C10,EEM+Raman,B2,-10.541442,0.890036,2
Pavlovagyrans,1,7,C11,EEM+Raman,B4,-2.169886,-3.318381,2
Pavlovagyrans,1,7,C2,EEM+Raman,N0,-1.319328,-2.265581,2
Pavlovagyrans,1,7,C3,EEM+Raman,N2,-2.381858,-1.621017,2
Pavlovagyrans,1,7,C4,EEM+Raman,N4,-2.759583,-1.220433,2
Pavlovagyrans,1,7,C5,EEM+Raman,N6,-10.356593,2.395729,1
Pavlovagyrans,1,7,C6,EEM+Raman,S1,-7.098264,-1.005003,2
Pavlovagyrans,1,7,C7,EEM+Raman,S3,-2.466629,-3.207009,2
Pavlovagyrans,1,7,C8,EEM+Raman,S5,-2.324128,-3.380576,2
Pavlovagyrans,1,7,C9,EEM+Raman,S7,-2.264351,-3.377445,2
Pavlovagyrans,1,7,D10,EEM+Raman,B2,-3.094032,-2.244806,2
Pavlovagyrans,1,7,D11,EEM+Raman,B4,-7.845793,-2.075686,2
Pavlovagyrans,1,7,D2,EEM+Raman,N0,-6.711628,-1.315312,2
Pavlovagyrans,1,7,D3,EEM+Raman,N2,-2.166452,-1.263944,2
Pavlovagyrans,1,7,D4,EEM+Raman,N4,-1.990495,-1.716864,2
Pavlovagyrans,1,7,D5,EEM+Raman,N6,-3.138420,-2.291299,2
Pavlovagyrans,1,7,D6,EEM+Raman,S1,-1.416217,-3.844026,2
Pavlovagyrans,1,7,D7,EEM+Raman,S3,-1.879130,-3.389978,2
Pavlovagyrans,1,7,D8,EEM+Raman,S5,-2.036884,-3.202258,2
