sample_set,batch,replicate,sample_id,matching_measurements,legend_treatment_label,pc1,pc2,cluster
MSStandards,4,1,A1,Raman only,Rha (5),-1.814954,2.278731,0
MSStandards,4,1,A10,Raman only,Rha-Glu (0.01),-1.926971,2.195822,0
MSStandards,4,1,A11,Raman only,Rha-Xyl (0.1),-1.820831,2.457606,0
MSStandards,4,1,A2,Raman only,Rha (1),-1.870913,2.196675,0
MSStandards,4,1,A3,Raman only,Rha (0.25),-3.189896,-0.153884,0
MSStandards,4,1,A4,Raman only,Rha (0.05),-1.834258,2.325235,0
MSStandards,4,1,A5,Raman only,Rha (0.01),-1.862896,2.322318,0
MSStandards,4,1,A6,Raman only,Glu (1),2.532452,1.843155,1
MSStandards,4,1,A7,Raman only,Glu (0.25),-1.722355,2.479980,0
MSStandards,4,1,A8,Raman only,Glu (0.075),-1.813316,2.463425,0
MSStandards,4,1,A9,Raman only,Glu (0.01),-1.894448,2.066681,0
MSStandards,4,1,B1,Raman only,Rha (5),-1.808635,2.251228,0
MSStandards,4,1,B10,Raman only,Rha-Glu (0.01),-3.269853,0.070817,0
MSStandards,4,1,B11,Raman only,Rha-Xyl (0.01),-1.807193,2.427420,0
MSStandards,4,1,B2,Raman only,Rha (0.75),-1.807712,2.390479,0
MSStandards,4,1,B3,Raman only,Rha (0.25),-3.165748,0.128131,0
MSStandards,4,1,B4,Raman only,Rha (0.05),-1.996448,2.051871,0
MSStandards,4,1,B5,Raman only,Glu (5),-1.769375,2.476850,0
MSStandards,4,1,B6,Raman only,Glu (1),-1.848920,2.319141,0
MSStandards,4,1,B7,Raman only,Glu (0.25),-1.644979,2.747343,0
MSStandards,4,1,B8,Raman only,Glu (0.05),-1.666125,2.744521,0
MSStandards,4,1,B9,Raman only,Glu (0.01),-1.679126,2.714421,0
MSStandards,4,1,C1,Raman only,Rha (5),-1.803693,2.419547,0
MSStandards,4,1,C10,Raman only,Rha-Glu (0.01),-1.889312,2.152382,0
MSStandards,4,1,C11,Raman only,Rha-Xyl (0.01),-2.040283,1.822671,0
MSStandards,4,1,C2,Raman only,Rha (0.75),-1.824018,2.247940,0
MSStandards,4,1,C3,Raman only,Rha (0.1),-1.891976,2.312047,0
MSStandards,4,1,C4,Raman only,Rha (0.05),-1.873097,2.137198,0
MSStandards,4,1,C5,Raman only,Glu (5),-1.745966,2.506084,0
MSStandards,4,1,C6,Raman only,Glu (0.75),-1.722230,2.673806,0
MSStandards,4,1,C7,Raman only,Glu (0.25),-1.794846,2.484869,0
MSStandards,4,1,C8,Raman only,Glu (0.05),-1.523339,2.815884,0
MSStandards,4,1,C9,Raman only,Rha-Glu (1),-1.603148,2.790157,0
MSStandards,4,1,D1,Raman only,Rha (2.5),-2.096728,1.782553,0
MSStandards,4,1,D10,Raman only,Rha-Xyl (1),-1.977713,1.993338,0
MSStandards,4,1,D11,Raman only,Rha-Xyl (0.01),-1.954294,2.113241,0
MSStandards,4,1,D2,Raman only,Rha (0.75),-1.957917,2.113211,0
MSStandards,4,1,D3,Raman only,Rha (0.1),-1.807296,2.501239,0
MSStandards,4,1,D4,Raman only,Rha (0.025),-1.722688,2.533443,0
MSStandards,4,1,D5,Raman only,Glu (5),-2.123362,1.757281,0
MSStandards,4,1,D6,Raman only,Glu (0.75),-1.684351,2.748481,0
MSStandards,4,1,D7,Raman only,Glu (0.1),-1.859029,2.278224,0
MSStandards,4,1,D8,Raman only,Glu (0.05),-1.856896,2.467183,0
MSStandards,4,1,D9,Raman only,Rha-Glu (1),-2.227334,1.587922,0
MSStandards,4,1,E1,Raman only,Rha (2.5),-2.213954,1.674833,0
MSStandards,4,1,E10,Raman only,Rha-Xyl (1),-2.083574,1.668994,0
MSStandards,4,1,E2,Raman only,Rha (0.5),-2.349233,1.411033,0
MSStandards,4,1,E3,Raman only,Rha (0.1),-2.023491,2.174916,0
MSStandards,4,1,E4,Raman only,Rha (0.025),-1.917926,2.261456,0
MSStandards,4,1,E5,Raman only,Glu (2.5),-1.995876,2.104579,0
MSStandards,4,1,E6,Raman only,Glu (0.75),-2.488821,0.425644,0
MSStandards,4,1,E7,Raman only,Glu (0.1),-2.148251,1.938755,0
MSStandards,4,1,E8,Raman only,Glu (0.025),-1.945749,2.356140,0
MSStandards,4,1,E9,Raman only,Rha-Glu (1),-1.875187,2.380989,0
MSStandards,4,1,F1,Raman only,Rha (2.5),-2.187663,1.840628,0
MSStandards,4,1,F10,Raman only,Rha-Xyl (1),-2.284492,1.628729,0
MSStandards,4,1,F2,Raman only,Rha (0.5),-2.556246,0.861299,0
MSStandards,4,1,F3,Raman only,Rha (0.075),-2.116636,2.073332,0
MSStandards,4,1,F4,Raman only,Rha (0.025),-2.100894,1.834355,0
MSStandards,4,1,F5,Raman only,Glu (2.5),-2.031326,2.121720,0
MSStandards,4,1,F6,Raman only,Glu (0.5),-2.336976,1.541695,0
MSStandards,4,1,F7,Raman only,Glu (0.1),-2.303456,1.419930,0
MSStandards,4,1,F8,Raman only,Glu (0.025),-2.059697,2.082442,0
MSStandards,4,1,F9,Raman only,Rha-Glu (0.1),-2.029314,2.172854,0
MSStandards,4,1,G1,Raman only,Rha (1),-2.287972,1.723548,0
MSStandards,4,1,G10,Raman only,Rha-Xyl (0.1),-2.290704,1.579829,0
MSStandards,4,1,G2,Raman only,Rha (0.5),-2.323642,1.633988,0
MSStandards,4,1,G3,Raman only,Rha (0.075),-2.171500,1.946636,0
MSStandards,4,1,G4,Raman only,Rha (0.01),-2.191671,1.929687,0
MSStandards,4,1,G5,Raman only,Glu (2.5),-2.117077,1.922594,0
MSStandards,4,1,G6,Raman only,Glu (0.5),-2.322967,1.447883,0
MSStandards,4,1,G7,Raman only,Glu (0.075),-2.502233,1.290999,0
MSStandards,4,1,G8,Raman only,Glu (0.025),-2.663794,0.825915,0
MSStandards,4,1,G9,Raman only,Rha-Glu (0.1),-2.169522,1.930053,0
MSStandards,4,1,H1,Raman only,Rha (1),-2.444814,1.429055,0
MSStandards,4,1,H10,Raman only,Rha-Xyl (0.1),-2.304956,1.610134,0
MSStandards,4,1,H2,Raman only,Rha (0.25),-2.361724,1.591101,0
MSStandards,4,1,H3,Raman only,Rha (0.075),-2.444788,1.398078,0
MSStandards,4,1,H4,Raman only,Rha (0.01),-2.401811,1.610787,0
MSStandards,4,1,H5,Raman only,Glu (1),-2.361273,1.628880,0
MSStandards,4,1,H6,Raman only,Glu (0.5),-2.421027,1.494142,0
MSStandards,4,1,H7,Raman only,Glu (0.075),-2.327144,1.690550,0
MSStandards,4,1,H8,Raman only,Glu (0.01),-3.165204,-0.731384,0
MSStandards,4,1,H9,Raman only,Rha-Glu (0.1),-2.300125,1.678854,0
MSStandards,4,2,A1,Raman only,Xyl (5),-1.720721,2.489617,0
MSStandards,4,2,A2,Raman only,Xyl (1),-2.223869,1.802718,0
MSStandards,4,2,A3,Raman only,Xyl (0.25),-1.943541,2.187150,0
MSStandards,4,2,A4,Raman only,Xyl (0.05),-1.870249,2.247199,0
MSStandards,4,2,A5,Raman only,Xyl (0.01),-1.999371,2.158191,0
MSStandards,4,2,A6,Raman only,MM f/2 (0.01),-1.975143,2.063891,0
MSStandards,4,2,A7,Raman only,MMAlgae (0.01),-1.199234,-1.100145,0
MSStandards,4,2,A8,Raman only,Rha-Algae (0.1),-0.741987,-1.207300,0
MSStandards,4,2,A9,Raman only,MilliQ,-1.918232,2.257336,0
MSStandards,4,2,B1,Raman only,Xyl (5),-2.061596,2.000931,0
MSStandards,4,2,B2,Raman only,Xyl (0.75),-2.043600,1.915313,0
MSStandards,4,2,B3,Raman only,Xyl (0.25),-2.192410,1.756049,0
MSStandards,4,2,B4,Raman only,Xyl (0.05),-3.296985,-0.247073,0
MSStandards,4,2,B5,Raman only,MM f/2 (1),-1.773591,2.342291,0
MSStandards,4,2,B6,Raman only,MM f/2 (0.01),-1.994107,2.133527,0
